超市采购水果时，供应商通常需要提供以下几类检测报告或进货证明，具体以超市收货标准和当地监管要求为准：

1. **营业执照及相关资质**
   - 供应商营业执照
   - 食品经营许可证或食品生产许可证（如适用）
   - 若为进口水果，还需提供入境货物检验检疫证明等

2. **水果质量合格证明**
   - 产地证明或供货证明
   - 食用农产品合格证（很多地区推行）
   - 收购凭证、销售凭证或进货台账

3. **农药残留检测报告**
   - 第三方检测机构出具的农残检测报告
   - 快检报告或市场自检记录
   - 重点检测项目通常包括有机磷、氨基甲酸酯类等农药残留

4. **重金属及污染物检测报告**
   - 铅、镉、汞、砷等重金属检测
   - 根据水果种类和产地风险，可能要求其他污染物检测

5. **食品添加剂及保鲜剂相关证明**
   - 若使用保鲜剂、打蜡等处理，需符合国家标准并提供相关说明或检测
   - 不得使用违禁保鲜剂或添加剂

6. **进口水果额外证明**
   - 海关入境货物检验检疫证明
   - 报关单
   - 中文标签或标签审核资料
   - 输出国官方植物检疫证书

7. **批次追溯与进货凭证**
   - 每批次送货单、发票或收据
   - 批次号、产地、采摘/包装日期
   - 供应商与超市之间的购销合同或质量保证协议

8. **超市自身索证索票要求**
   - 超市通常执行“索证索票”制度，要求供应商每次供货提供相应证明
   - 部分超市还会要求供应商签署质量承诺书，并接受抽检

实际采购中，叶菜类、浆果类等高风险水果往往检测要求更严；普通水果可能以合格证、快检报告和进货凭证为主。最稳妥的做法是：在合作前让供应商提供完整资质和近期检测报告，并在合同中明确每批次随货证明和抽检责任。
