生鲜电商采购菠萝，建议根据目标客群、物流能力和使用场景来选择：

**1. 整果菠萝（最推荐）**
- 适合：注重“新鲜感”、高复购家庭用户，以及有简易切配能力的用户。
- 优势：可做爆款、视觉展示好、损耗端可控（消费者自行处理）、运输包装成熟（网套+纸箱）。
- 风险：需明确成熟度（如海南金菠萝、都乐金菠萝等），避免过生或过熟；建议提供“削皮服务”或附送削皮刀。

**2. 切配菠萝（次选）**
- 适合：办公室白领、懒人用户、即买即食需求。
- 优势：附加值高、单价高、用户决策成本低。
- 风险：对冷链要求高、保质期极短（24-48小时），需全程冷链配送；切配展示需注意“氧化变色”问题，建议真空包装或隔氧处理；损耗率较高，不适合长距离配送。

**3. 冷冻菠萝原料（谨慎选）**
- 适合：加工场景（如做果汁、烘焙、冰沙），而非家庭即食。
- 优势：保质期长（6-12个月）、运输成本低、损耗小。
- 风险：家庭场景需求有限，需搭配食谱推广；口感与新鲜菠萝有差距（解冻后出水、糖酸感下降），复购率较低；需要强标签说明“建议用于制作饮品/甜品”。

**结论：**
- **最推荐先做整果**（标品、用户教育成本低、复购率高）。
- 如果配送范围集中在核心城区且冷链完善，可加入**切配**作为高毛利补充。
- **冷冻原料建议暂缓**，除非已有固定加工类客户或能配套食谱快速消耗。
