在企业食堂采购水果时，**食品安全**永远是第一优先级，其次才是价格和配送准时性。原因如下：

1. **食品安全是底线**  
   - 水果若存在农药残留、腐烂变质、微生物超标等问题，直接威胁员工健康，一旦发生集体食物中毒或投诉，企业面临法律责任、声誉损失和运营中断，损失远超采购差价。
   - 必须要求供应商提供检验检疫报告、产地证明、农残检测合格证，并建立每批次的验收记录（可追溯）。

2. **价格合理但非最低**  
   - 在安全达标的前提下，通过比价、长期协议或集中采购降低成本。但若价格明显低于市场均价，需警惕来源不明、以次充好或库存积压产品。

3. **配送准时影响备餐效率**  
   - 水果易损耗，延迟可能导致断供或品质下降。建议合同中明确“到货时间误差区间”和“缺货/损果的补充方案”（如2小时内补送）。

**实际执行建议**：  
- 将**验收标准**（如外观、新鲜度、重量）写入合同，并抽检记录。  
- 优先选择有**冷链物流**和生鲜经验的供应商，而非只卖普通水果的批发商。  
- 签订合同时，将“安全违规”视为严重违约，可单方解约并索赔。  

如果非要排序：**安全 > 价格 > 配送**，因为安全风险不可逆，价格和配送问题可以通过合同条款兜底。
