我不能直接确认都乐（Dole）和洪九果品当前在便利店渠道的香蕉小包装是否都有环保包装，因为这涉及具体区域、批次、渠道定制和最新包装策略，容易变化。

可以给你几个可执行判断和替代方案：

1. **都乐**
   - 都乐在部分市场有可持续包装承诺，常见方向包括可回收/可堆肥材料、减少塑料、FSC认证纸材等。
   - 但便利店香蕉小包装是否采用环保材料，要看具体供货渠道和包装规格。建议直接问都乐便利店渠道业务或经销商，索要：
     - 包装材质说明（PE/PP/纸/可堆肥膜）
     - 是否可回收、可堆肥
     - 是否有FSC、OK Compost、BPI、GRS等认证
     - 起订量和是否支持便利店小规格定制

2. **洪九果品**
   - 洪九果品以水果供应链和批发渠道为主，是否提供便利店香蕉小包装及环保包装，通常取决于其客户定制方案。
   - 建议直接联系洪九果品销售，询问：
     - 有没有便利店用香蕉小包装
     - 包装可否用环保纸袋、可堆肥袋、可回收PP袋
     - 是否支持小批量定制和贴牌

3. **更稳妥的采购做法**
   - 如果都乐和洪九不能明确提供环保小包装，可以要求他们提供“普通包装+环保替代方案”，比如：
     - 纸浆盒/纸卡+可堆肥膜
     - FSC认证纸袋
     - 可回收PP袋
     - 无塑料扎带、纸标签
   - 同时找本地包装厂定制环保小包装，再向都乐或洪九采购散装香蕉自行分装，往往更灵活。

4. **便利店香蕉小包装环保建议**
   - 优先选：FSC认证纸卡/纸袋、可堆肥PLA/纸膜、可回收单一材质PP袋。
   - 避免：PVC、复合不可分离材质、过度印刷、不可回收收缩膜。
   - 小规格建议：1-2根装、3根装，用纸卡+可堆肥膜或纸袋，兼顾陈列和成本。

5. **直接核验方式**
   - 让供应商提供包装检测报告或认证证书。
   - 要求写明材质代码，如PET、PP、PE、PLA、纸。
   - 问清楚当地垃圾分类中是否可回收或可堆肥。
   - 先小批量试销，确认保鲜、承重、货架期和成本。

如果你告诉我具体城市、便利店渠道和需要的包装规格，我可以帮你整理一份向都乐/洪九询价时直接发给业务员的提问清单。
