对于茶饮店而言，菠萝果酱的全年稳定供应确实是个关键问题。菠萝是热带水果，在自然条件下通常集中在春夏季上市，所以**要做到全年供应，主要取决于供应链的预处理能力和冷藏/冷链能力**，而非单纯依赖产地收获期。

**先直接回答问题：**

- **都乐（Dole）**：能做到。
  - 都乐是全球最大的水果供应商之一，其模式是“全球采购+本地分装”。他们在中国（如广东、海南）、菲律宾、泰国、哥斯达黎加等多个产区布局，可以通过调节不同产区的采收期实现全年供货。
  - 更重要的是，都乐有成熟的**清洗、去皮、切块、速冻或低温无菌灌装**能力，很多茶饮品牌用的菠萝果肉/果丁就是都乐供应的冻品，化冻后即可熬制果酱，不需要依赖鲜果自然季节。
  - 例如，都乐为餐饮渠道提供整果或加工过的菠萝块，配合其冷藏物流，可以做到订货后稳定到货。

- **洪九果品**：能做到，但模式不同。
  - 洪九果品是国内的头部水果供应链企业，主打“产地直采+全程冷链”。他们在东南亚（如泰国、越南）有持续采购能力，同时在国内有分拣、加工中心。
  - 但洪九的优势更多在于**鲜果流通**，其果酱加工能力（如熬制、灌装）相对弱于都乐。如果你的茶饮店是购买鲜菠萝自己做酱，洪九可以供鲜果；如果你是采购加工好的菠萝果肉/罐头，洪九也有供应，但长期稳定性略逊于都乐。
  - 注意：洪九的菠萝在非主产季（如冬季）可能依赖泰国等反季节产区，价格波动会比都乐的全球调配大一些。

**综合建议（按你实际需求选）：**

1. **如果你希望“省事”**：直接采购预加工冷冻菠萝丁或菠萝罐头（都乐、佳农等大品牌都有），全年价格和供给最稳，适合茶饮店标准化操作。
2. **如果你坚持“用鲜果现熬”**：都乐更适合，因为其冷链和全球排产能确保一年12个月到货；洪九也能做，但冬季可能需要提前锁定额度，否则货源会紧张。
3. **成本角度**：洪九在产地直接采购，旺季（4-8月）价格明显低于都乐；但淡季（10-次年2月）洪九的价格可能高于都乐，因为要承担泰国果的空运成本。建议在旺季用洪九，淡季用都乐做补充。

**关键提示：**
- 无论选哪家，一定要签订**年度框架协议+月度保量条款**，明确极端天气（台风、寒潮）下的替代供货方案。
- 果酱熬制需要大量糖分防腐，若你买的是冻果，建议让供应商提供“糖度分级”证明，确保稳定出酱率。

最后多问一句：你的茶饮店是单店还是连锁？如果是单店，其实直接在本地批发市场找洪九的经销商拿货就够；如果是连锁，都乐的合同履约保障更强。你目前更侧重哪一种发展规模？
