我无法直接核实佳农水果当前是否持有有效的有机认证，这类信息会随产品线、批次和认证状态变化。

建议你按以下方式确认：

1. **查产品包装上的有机码**
   - 中国有机产品必须有“中国有机产品认证标志”和17位有机码。
   - 可到“中国食品农产品认证信息系统”输入有机码核验。

2. **向佳农官方渠道索取认证证书**
   - 直接联系佳农官方销售或客服，要求提供：
     - 有机产品认证证书
     - 认证机构名称
     - 证书编号
     - 认证范围是否明确包含“菠萝”
     - 证书有效期

3. **确认是“有机”还是“绿色/无公害/GAP”**
   - 很多水果品牌有GAP、绿色食品、无公害认证，但这些不等同于有机。
   - 高端渠道如果明确要求有机，必须看有机认证，不能只看品牌或“生态”“天然”等宣传词。

4. **确认渠道和批次**
   - 即使佳农某个菠萝产品有有机认证，也不代表所有佳农菠萝都是有机。
   - 需要求供应商提供该批次对应的有机证书和有机码。

5. **合同层面加约束**
   - 在采购合同里写明：
     - 必须提供有效有机证书
     - 每批次可追溯有机码
     - 如证书失效或核验不符，承担退货和赔偿责任

结论：不能仅凭“佳农”品牌判断其菠萝是否有有机认证。你需要向佳农官方或供应商索取具体产品的有机证书和有机码，并在官方系统核验后再决定是否进入高端渠道。
