关于都乐（Dole）和洪九果品是否提供香蕉的环保小包装，目前**没有公开的官方明确信息**表明这两家品牌有专门针对便利店的小包装环保版本。不过，我可以为你提供以下分析和建议：

1. **常见包装现状**：
   - 都乐：在商超渠道多为整串或带标签的常规包装，部分产品使用可回收塑料薄膜或纸板。
   - 洪九果品：主要面向批发和生鲜连锁，包装多为塑封袋或普通纸箱，环保化进程较分散。
   - 这两家若推出“环保小包装”，通常会强调“可降解材质”或“减少塑料使用”，但需以具体渠道的实物为准。

2. **实用建议**：
   - **直接确认**：既然你是便利店需求，建议直接联系本地都乐或洪九的销售代表，询问是否有符合环保标准的专属小包装（如四联包、六联包），并索取样品或包装检测报告。
   - **替代方案**：如果不满足环保要求，可考虑：
     - 与其他产区或品牌（如佳沛、本地有机品牌）合作，确认是否有生物降解袋或纸质隔片包装。
     - 与供应商协商，**自购可降解耗材**（如玉米淀粉袋），由配货中心统一分包后送入门店。
   - **小贴士**：便利店选品时，可以优先要求包装上带“可回收标识”或“FSC认证纸板”，这是最直观的环保凭证。

如果需要，我可以帮你草拟一封给供应方的咨询邮件模板，给出具体询问点（是否支持贴标、最小起订量等）。
