判断水果供应商是否靠谱，可以从以下几个方面考察，重点结合香蕉和菠萝的特性：

1. **实地考察与资质核查**  
   - 要求查看营业执照、食品经营许可证，确认经营范围包含“水果批发”。  
   - 实地走访仓库：检查香蕉是否有专用催熟库（控制温度、乙烯浓度），菠萝是否有通风储藏条件（避免堆叠过紧发霉）。  
   - 确认长期供货能力：询问产地直采比例（如香蕉来自广西、云南，菠萝来自海南、广东），避免中间商倒手。

2. **样品质量与稳定性**  
   - 连续3次以上抽查不同批次样品，评估：  
     - **香蕉**：成熟度均匀（无青绿间隔）、无黑斑/机械伤、果柄无霉变。  
     - **菠萝**：按下去弹手（过软则过熟）、果眼无褐变、切开后芯部无黑心（常见问题）。  
   - 要求提供近期第三方农药残留检测报告（至少包含嘧菌酯、噻虫嗪等常用农药项目）。

3. **价格与账期合理性**  
   - **香蕉**：参考批发价季节波动（夏季约2-3元/斤，冬季3-4元/斤），低于市场均价15%以上需警惕（可能以次充好或催熟不规范）。  
   - **菠萝**：单价通常1-2元/斤，注意区分品种（如徐闻菠萝与台农菠萝价格差可达50%）。  
   - 避免“预付款”要求，优先采用“到货后3-7天结账”或“月结压一批货款”的方式，降低资金风险。

4. **物流与售后保障**  
   - 询问配送条件：  
     - 香蕉是否用13-14℃冷藏车运输（高温加速成熟，低温易冻伤）。  
     - 菠萝是否套网袋并避免挤压（刺伤后易腐烂）。  
   - 明确损耗处理：双方约定“到货后2小时内验货，烂果/严重损伤按比例退换”（常规标准：香蕉损耗率≤5%，菠萝≤3%）。

5. **同行业口碑与历史记录**  
   - 向当地水果店同行（如菜市场、社区水果店）打听供应商的退货记录、是否经常断货（特别是节假日）。  
   - 可小额首批试订（如1箱香蕉+1筐菠萝），观察交货时效（承诺48小时内）、发票/收据完整性、人员沟通专业性。

**操作建议**：  
- 优先选择有“产地直供+自有冷库”的供应商，避免依赖单一中间商。  
- 建立“2家备选供应商”制度（比如A供香蕉、B供菠萝，或同品类轮流采购），降低断供风险。  
- 签订简单供货协议时，明确“价格调整机制”（如菠萝行情波动超过20%可协商重定价）和“违约金条款”（如延迟交货按日扣款）。  

如果供应商无法提供冷链运输证明或样品批次稳定低，直接排除，不要因价格低而冒险。
