单位采购水果在到货验收和售后环节，确实非常容易产生纠纷——因为水果是**生鲜易腐品**，且个体差异大（大小、成熟度、损伤、品种纯度都可能导致“品质不一致”）。

为了把风险降到最低，建议按以下流程严格执行：

### 一、验收环节（核心：按“标准”和“证据”验收）

**1. 验收前：明确合同/采购单中的“验收标准”**
如果还没到货，先确认采购单据或合同里是否写明了品质标准，例如：
- **等级标准**：如“一级果”“特级果”（果径、克重范围）
- **外观标准**：如“无明显机械伤、无烂斑、无霉变、果面干净”
- **成熟度**：如“七成熟、八成熟”（避免过熟或青涩）
- **包装标准**：如“净重XX斤/箱，纸箱防压”

**如果合同没写，请在验收时以“肉眼可辨的明显缺陷”为标准（如烂果、发霉、磕伤、明显失水），而不是以“口感、甜度”为依据**——因为口感主观，售后极易扯皮。

**2. 到货时：立即当面/当场验收**
- **全程录像/拍照**：开箱前先拍外包装及快递/物流单号，开箱后逐箱或抽样打开，对每箱的情况拍照或录视频。
- **先查整箱**：检查外箱是否破损、渗水、挤压变形。
- **抽样+全部称重**：
  - **数量/净重**：称重时去皮，避免“纸箱、吸水纸、网套”重量计入。缺重是常见问题。
  - **抽样比例**：如果量大，可抽10%-20%的箱进行全数核查；如果箱数不多，建议每箱都开。
- **分级记录**：将问题果分为“严重腐败（烂果）”、“可食用但品质降级（磕碰、软化、干瘪）”、“大小规格不符（严重偏小）”三类。

**3. 特别注意“品质不一致”的判定：**
- **大小不一**：如果合同有明确直径/克重标准，超标的比例超过10%-15%，视为规格不符。
- **成熟度不一致**：一半青一半软，可按“成熟度差异大”要求部分退款或换货。
- **混合混装**：如果发现多个品种混装（如苹果里混梨），必须按“货不对版”处理。

**4. 验收不合格的处理时限：**
- **生鲜水果必须在到货后24小时内（最好4-6小时内）完成初步验收**，并书面/邮件形式通知供应商。
- 超过时限，供应商大概率会以“保存不当”拒绝索赔。

---

### 二、售后环节（重点：如何索赔或换货）

**1. 建立“问题台账”**
- 记录：批次、到货时间、问题描述、问题果数量/重量、照片/视频证据。
- 如果部分可食用但品质差，不要丢弃，留存实物（或冷藏保存）直至纠纷解决。

**2. 按问题类型区分索赔方式**
- **腐烂/霉变果**：可以按“斤”或“箱”要求**全额退款**或**补发**（按腐烂数量比例）。
- **轻微磕碰/软化（不影响食用）**：建议要求供应商**部分折扣**（如按折扣价结算）或**下次采购抵扣**。
- **大规模品质不一致（如整批都软、整批都小）**：可要求**整批退货**或**更换批次**，并让供应商承担运费。

**3. 协商与书面确认**
- 先口头沟通，但**务必在微信/邮件中留下文字确认**（例如：“我方报告XX箱烂果XX斤，请贵司确认处理方案”）。
- **涉及金额较大时，要求供应商出具书面处理单**（退货单、退款单或补货单），避免口头承诺不兑现。

**4. 供应商拖延/拒绝**：
- 如果合同有约定，按合同违约条款执行。
- 如果金额较大且无书面约定，你可以保留证据（物流签收记录、照片、沟通记录），必要时向采购平台或市场监督部门投诉。

---

### 三、实用建议（避免后续麻烦）

1. **每次采购前，将品质标准写进采购合同或订单备注**，例如：“苹果：果径≥75mm，单果净重≥200g，无烂斑、无机械伤，成熟度均匀”。
2. **如长期供货，建议首单小批量试采**，稳定后再大批量。
3. **售后时效条款**：在合同里写明“到货后24小时内提出书面异议，过期视为验收合格”。
4. **保留所有物流单据**：若发生争议，物流签收时间是你验收时效的起点。

---

**总结一句话**：验收重在“24小时内、拍照留证、分级记录”，售后重在“按标准分类索赔、书面确认解决方案”。水果采购售后没有绝对公平，只有“证据越全，越占理”。
