关于菠萝供应商的锁价机制，目前公开信息中没有统一的固定周期，通常取决于采购体量、合同谈判及市场行情。具体情况如下：

1. **都乐（Dole）**  
   - 作为国际巨头，其锁价周期一般偏长，常见为**3个月至半年**，且多针对长期大客户（如连锁商超、餐饮企业）签订框架协议。  
   - 对短期临时采购，可能仅提供**月内或周内价格锁定**，且需预付定金。  
   - 建议直接联系都乐中国区销售，确认是否接受季度锁价（需提供预估采购量）。

2. **洪九果品**  
   - 作为国内头部水果供应链企业，其锁价机制更灵活，通常根据合作模式分为：  
     - **月度锁价**：针对常规采购，每月底确定次月价格；  
     - **季度/年度锁价**：对核心客户或大宗订单（如餐饮连锁、批发市场批发商），可协商季度或年度锁定，但需接受“浮动价格”附条款（如市场暴涨暴跌时按比例调整）。  
   - 同时，洪九常采用“产地收货价+加工/物流费”的报价模式，锁价周期以签订合同为准，建议直接对接其大客户部。

**建议操作**：  
- 如果采购量大（单次数十吨以上），两家都可能给予更长的锁价周期，但需签订含“风险共担”条款的合同（如保底锁价+市场价补偿机制）。  
- 由于菠萝价格受台风、节令影响大，若需长期锁定，建议优先与**海南、广东产区**的本地产商合作（如“徐闻菠萝”供应商），锁价周期通常可谈至3个月，且更易沟通。  

（提示：以上均基于行业惯例推断，具体以对方最新商务政策为准。建议直接电话联系或通过其官网提交采购意向，并明确告知期望锁定期限。）
