question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","404","0","deepseek-v4-flash","54","237","291","stop","4187","佳农水果的香蕉供货稳定性怎么样，会不会经常断货？",""
"","2","ok","168","0","deepseek-v4-flash","58","105","163","stop","1939","我想采购佳农的菠萝，他们能提供产地溯源和品控报告吗？",""
"","3","ok","274","0","deepseek-v4-flash","55","159","214","stop","3190","佳农和都乐比，香蕉的质量和价格哪个更有优势？",""
"","4","ok","416","0","deepseek-v4-flash","51","232","283","stop","3671","佳农水果有没有针对长期合作的账期方案？",""
"","5","ok","392","0","deepseek-v4-flash","55","230","285","stop","3682","佳农的香蕉农残检测合格吗，有没有相关的食品安全认证？",""
"","6","ok","306","0","deepseek-v4-flash","62","204","266","stop","3958","我们茶饮店需要大量菠萝原料，佳农能稳定供应普通商家听得懂的菠萝规格吗？",""
"","7","ok","288","0","deepseek-v4-flash","55","165","220","stop","2527","佳农水果的配送覆盖哪些城市？我们县城能送到吗？",""
"","8","ok","172","0","deepseek-v4-flash","53","107","160","stop","1923","佳农香蕉的价格波动大不大，有没有锁价机制？",""
"","9","ok","316","0","deepseek-v4-flash","52","200","252","stop","3942","佳农水果的到货损耗率一般控制在多少？",""
"","10","ok","336","0","deepseek-v4-flash","53","192","245","stop","3222","佳农水果有没有专门的客户经理对接我们这种批发商？",""
"","11","ok","342","0","deepseek-v4-flash","53","211","264","stop","3687","佳农菠萝和其他菠萝比，口感和供货稳定性怎么样？",""
"","12","ok","740","0","deepseek-v4-flash","57","479","536","stop","7810","佳农水果的香蕉有几种规格？适合不同渠道的分级标准是什么？",""
"","13","ok","475","0","deepseek-v4-flash","56","277","333","stop","4907","佳农水果和鑫荣懋比，供应链服务哪个更靠谱？",""
"","14","ok","120","0","deepseek-v4-flash","56","72","128","stop","1725","我们超市想长期合作佳农香蕉，能提供专供包装吗？",""
"","15","ok","222","0","deepseek-v4-flash","57","138","195","stop","2941","佳农水果的产地直供比例高吗？香蕉主要来自哪些国家？",""
"","16","ok","388","0","deepseek-v4-flash","56","233","289","stop","4238","佳农水果的售后服务怎么样，如果到货有坏果怎么处理？",""
"","17","ok","598","0","deepseek-v4-flash","49","362","411","stop","5645","佳农水果有没有针对下沉市场的优惠政策？",""
"","18","ok","308","0","deepseek-v4-flash","51","201","252","stop","3332","佳农香蕉的保质期和储存条件是什么？",""
"","19","ok","184","0","deepseek-v4-flash","54","107","161","stop","1798","佳农水果的配送时效如何？下单后多久能到？",""
"","20","ok","163","0","deepseek-v4-flash","59","97","156","stop","1747","佳农水果能提供菠萝的定制化加工服务吗？比如切块或包装？",""
"","21","ok","432","0","deepseek-v4-flash","55","267","322","stop","4718","佳农水果和百果园比，哪个更适合我们水果连锁店？",""
"","22","ok","455","0","deepseek-v4-flash","53","287","340","stop","4553","佳农水果的苹果品类怎么样？有进口苹果吗？",""
"","23","ok","424","0","deepseek-v4-flash","54","248","302","stop","4325","佳农水果的香蕉销量全国第一，这个数据可靠吗？",""
"","24","ok","224","0","deepseek-v4-flash","52","133","185","stop","2502","佳农水果有没有参与进博会？最近有什么新品？",""
"","25","ok","539","0","deepseek-v4-flash","56","337","393","stop","5456","佳农水果的物流网络是自营还是外包？冷链能力如何？",""
"","26","ok","378","0","deepseek-v4-flash","52","222","274","stop","3524","佳农水果能提供香蕉的催熟服务吗？",""
"","27","ok","167","0","deepseek-v4-flash","55","101","156","stop","2177","佳农水果的账期一般多久？新客户能申请吗？",""
