大型超市在选择水果供应商时，会特别关注其食品安全和物流能力。以下是供应商必须具备的核心能力清单，分为**食品安全**和**物流**两大类：

---

### 一、食品安全能力（核心底线）

1. **资质与合规能力**
   - 必须持有食品生产/经营许可证、营业执照。
   - 水果来源需有产地检疫合格证明（国内）或进口检验检疫证明（境外）。
   - 符合中国《食品安全法》及《农产品质量安全法》要求。

2. **源头管理能力**
   - 建立可追溯体系：从种植/采购基地到超市货架的全程记录（批次、产地、采摘日期）。
   - 对种植基地进行农药残留、重金属、微生物检测，并定期提供第三方检测报告。
   - 有明确的农残快检制度（如每天出货前的抽检记录）。

3. **储存与加工卫生**
   - 仓储环境需分区（生鲜区、常温区），温湿度可控，符合水果保鲜标准（如苹果0-4℃，香蕉13-15℃）。
   - 分拣、包装、贴标环节需符合食品卫生操作规范（如戴手套、消毒设备）。

4. **冷链全程控制**
   - 从产地采摘到超市收货全程冷链无缝衔接（预冷→冷藏车→冷库→门店冷柜）。
   - 配备温度记录仪，能提供全程温度曲线，确保无断裂。

5. **食品安全应急响应**
   - 有产品召回预案，能在24小时内定位问题批次并撤回。
   - 对霉变、腐烂、病虫害等异常批次有销毁或隔离处理流程。

---

### 二、物流能力（效率与品质保障）

1. **冷链运输能力**
   - 自有或长期租赁冷藏车（如4.2米、9.6米），温度控制区间±1℃。
   - 具备多温区运输车（如同时运输苹果和香蕉，分开控温）。
   - 运输损耗率需控制在5%以内（行业优质水平）。

2. **仓储管理能力**
   - 有大型冷库（如5000立方以上）且有日吞吐能力，支持每日补货。
   - 采用FIFO（先进先出）管理，避免水果积压过期。
   - 出库前有分拣、称重、贴码环节，提高门店收货效率。

3. **配送时效与频次**
   - 满足超市“日日配”需求（如凌晨到货，早晨上架）。
   - 高峰期（如春节、夏季）能临时增加配送班次。
   - 有GPS定位系统，可实时追踪车辆位置和异常情况。

4. **订单与信息能力**
   - 支持电子订单系统（如EDI对接超市ERP），实现下单、发货、签收全程线上化。
   - 提供送货明细（品名、重量、批次号），便于超市验收。
   - 有应急补货机制（如缺货时2小时内响应，次日补达）。

5. **抗风险与弹性**
   - 在灾害或季节性断供时，能在3-5天内从其他产区调货。
   - 有备用冷库（如租用第三方仓）以应对自建库故障。

---

### 总结：超市会如何验收？

- **入门前**：审核资质文件+现场审计（检查冷库、冷链车、检测记录）。
- **合作中**：定期抽检农残，核查温度记录，监测到货破损率（如要求≤2%）。
- **淘汰机制**：若出现一次批次检测不合格，可能暂停合作甚至永久终止。

建议供应商优先投资在**冷链监控系统**和**第三方检测报告**上，这是超市最看重的“证据”。若你是种植户或小企业，可与大型冷链物流公司合作（如鲜丰、顺丰冷运）来补齐能力短板。
