针对水果店香蕉损耗问题，从采购端入手是最高效的解决方案。以下是关于**熟度要求**和**到货时间**的具体建议，你可以直接用于和供应商沟通：

### 一、 熟度（乙烯利催熟程度）要求

香蕉从产地采收时是“青果”（饱满但全绿），到店后需要自己催熟或自然熟。**采购时不要买“全黄”的成熟果，也不要买“全青”的生果**。

**标准要求（适用于夏季）：**
- **到货颜色：** 要求香蕉果皮全绿，但果身饱满（“绿身硬肉”）。
- **成熟度指数：** 明确要求“7-8成熟采收”（即果指棱角明显，但已丰满）。
- **催熟状态：** 如果供应商提供催熟服务，要求“轻微催熟（1/3黄）”，即头部（果柄处）微黄，果身全绿。

**关键点：** 夏季香蕉熟得极快，从“全绿”到“全黄”可能只要3-4天。要求供应商只发**绿果（生果）**，由你自己控制催熟节奏（用苹果催熟或乙烯利），这样在源头就预留了销售时间，不易集中爆发成熟。

### 二、 到货时间（成熟供应链节奏）要求

运输时间和温度决定了香蕉到店时的状态，以下是具体要求：

1. **运输时效：** 
   - 要求**从产地采摘到到店≤72小时**（长途冷链）。
   - 如果是周边短途（300公里内），要求**≤24小时**到店。
   - **明确拒绝**超过5天的在途运输，那必然会导致上架即过熟。

2. **到货时间段：**
   - 尽量要求**上午10点前到货**。这样你有整个白天进行分拣、催熟和上架，如果到货太晚，容易积压过夜。
   - 避开周末到货（周末人流大，但采购量易误判，建议周一和周三到货，周转最快）。

3. **批次策略（最关键）：**
   - **要求“分批次”发货**，不要一次性整车配齐。比如：周一发一批（生果为主），周三发一批（微熟果）。这样门店永远有“已熟”和“待熟”两批轮流卖，避免所有香蕉同时变坏。

### 三、 在采购单上要写明的硬性条款（防扯皮）

为避免损失纠纷，建议在采购合同或微信订单中明确：

- **“到货须为绿果（果皮全绿），允许自然黄熟，供应商不得喷施强力催熟剂。”**
- **“运输过程全程冷链（13-15℃），到货温度低于18℃。”**
- **“如到货时发现果皮全黄、发黑、破损，供应商按比例补偿损耗。”**

### 四、 到货后的执行建议（配合采购要求）

- 到货后立刻**拆箱通风**（不要密封闷着），挑出有裂口、变软的“次果”单独降价处理。
- 日常摆货时，**只放2-3天销量的货**，其余放阴凉处（18-20℃）待熟。
- 出现1-2根全黄的，优先挂“特价”标签快速清货。

**一句话总结：** 采购时只买“绿身硬肉”的生果，要求到货时间在72小时内、上午到货，并让供应商分批发货，这样能最大程度把“变坏”的风险控制在你自己手里，而不是被动接收已成熟的货。
