采购香蕉用于茶饮店或甜品时，熟度控制是关键，直接影响口感、甜度和操作便利性。以下是分阶段的实操建议：

### 一、明确不同用途对应的熟度标准
1. **做香蕉奶昔 / 冰沙**：  
   - 熟度：**全熟偏软**（表皮出现黑斑，果肉软糯、甜度高）。  
   - 原因：全熟香蕉甜味足、口感顺滑，打成泥后无纤维感，且不需要额外加糖。  
   - 注意：过于软烂（果肉发黑）会产生发酵味，需避免。

2. **做香蕉丁 / 切片装饰**：  
   - 熟度：**7-8成熟**（表皮仍呈黄色，果肉微软但整体挺实）。  
   - 原因：切丁或切片时不易碎裂，外观整齐，入口有嚼劲，不会因过熟而糊化。

3. **做香蕉烤制甜品（如烤香蕉、香蕉派）**：  
   - 熟度：**8-9成熟**（表皮金黄带少量黑点，果肉稍软）。  
   - 原因：烤制过程会进一步软化和焦糖化，熟度不够则风味寡淡，过熟则烤后易烂。

### 二、采购时的挑选与验收
- **整箱采购**：  
   - 不要全部买同一熟度。按“当日使用：次日使用：备货”比例分配，例如：  
     - 当日用（全熟）：按销售量30%申购；  
     - 次日用（7-8成熟）：50%；  
     - 存放备用（6成熟）：20%。  
   - 发青的香蕉（未熟）不要大量买，催熟周期长且风味差。

- **单根挑选**：  
   - 看颜色：黄色为熟，青绿色为生。  
   - 捏硬度：轻捏果柄或果身，微微发软但不凹陷为佳。若果柄发黑，说明已过熟。  
   - 闻气味：有浓郁果香即熟，无味则生。

### 三、到店后的催熟与储存
- **催熟（适用于青黄香蕉）**：  
   - 放入纸袋或纸箱，加一个熟苹果或熟芒果（释放乙烯），室温（20-25℃）密封催熟1-2天。  
   - 每日翻动检查，避免局部过熟。

- **储存**：  
   - 已熟香蕉：冷藏（4-8℃）可延缓变黑，但表皮会发黑，果肉不变。使用前30分钟取出回温即可。  
   - 未熟香蕉：不可冷藏，会“冻伤”无法成熟。  
   - 存放时避免挤压，平放或悬挂，防止压伤处变黑腐烂。

### 四、损耗控制与应急
- **损耗止损**：  
   - 若有少量过熟香蕉（表皮全黑但果肉未发酵），可立即做“香蕉酱”或“烤香蕉”，不要浪费。  
   - 按周销售量设定安全库存，宁少勿多，每日下单补货。

- **供应商合作**：  
   - 与水果供应商签订“按熟度分级供货”协议，要求当天送到的香蕉备注成熟度范围，并允许退换过熟歪果。

### 五、每日开档检查清单
- 检查昨日剩余香蕉状态，优先使用即将过熟的。  
- 记录当日用量，次日采购量 = 预计销量×单杯用量 + 10%安全冗余。  
- 如门店有恒温柜，可分区存放（催熟区、冷藏区）。

**最后提醒**：如果门店销量不稳定，建议改用“冷冻香蕉”作为备份——将熟透香蕉去皮切段冷冻，随取随用制作奶昔或冰沙，风味损失极小，且无需担心熟度失控。
