都乐（Dole）和洪九果品都属于行业头部，但**具体账期没有公开统一标准**，实际账期取决于采购量、合作历史、结算方式、区域和品类，通常需要一对一谈判，无法直接给出“固定天数”。

可以给你一些判断依据和可执行建议：

**1. 都乐（Dole）**
- 都乐中国多以**经销/代理体系**运作，对下游一般要求较严。
- 常见结算方式：**现款现货、款到发货、预付定金**为主；对大客户或长期合作经销商可能给到**15–30天**左右的账期，但并非普遍政策。
- 香蕉属于易腐、周转快的品类，都乐通常不会给很长账期。

**2. 洪九果品**
- 洪九是水果分销龙头，走的是**多品类、多层级分销**模式。
- 对下游客户（商超、批发商、电商）账期弹性相对更大，行业里常见**30–60天**，部分强势渠道客户可能到**60–90天**。
- 但这同样不是公开统一政策，且洪九近年经营和资金状况有波动，实际账期和授信门槛会随风险控制收紧。

**3. 实操建议**
- 直接联系两家公司的**区域销售/大客户经理**，说明你的采购量、结算周期、历史合作，谈**账期+价格+返利**组合。
- 不要只问“账期多久”，要问清楚：**账期起算日、是否含票、逾期利率、是否需要保证金/担保**。
- 香蕉损耗高，账期越长，供应商通常会在单价上加风险溢价，实际未必划算。
- 如果都乐、洪九给不了理想账期，可同步接触**一级批发商、产地代采、区域果品供应链公司**，这类主体账期更灵活。

如果你能告诉我你的**月采购量、所在城市、下游是商超还是批发/电商**，我可以帮你判断更现实的账期区间和谈判策略。
