采购方在试卖新品时，建议遵循**“少量、短周期、可验证”**的原则。具体数量没有绝对标准，但可以参考以下阶梯式策略，供你根据自身情况调整：

**1. 基础稳妥线（推荐）**
- **建议量**：**3-5天的预估销量**。
- **计算方式**：用你现有同类畅销品的日均销量 × 3（或5）。
- **为什么**：这个量级既能验证市场反应，又不至于因为滞销造成大批量损耗。例如，如果橙子日均卖20斤，新推的沃柑试卖就进60-100斤。

**2. 极简试水线（最小化风险）**
- **建议量**：**1-2天的预估销量**，且**单次订货量不超过该单品日销量的5倍**。
- **适用场景**：供应商首推、价格波动大、或该品类保质期极短（如杨梅、草莓）。
- **操作提示**：宁可断货也别压货。可以跟供应商约定“首批少量，复购加单”的合作模式。

**3. 关键决策参考因素**
- **保质期**：保质期低于5天的，务必按1-2天量试；保质期10天以上的，可以试试4-5天量。
- **损耗率**：如果你预估该水果损耗率超过15%（如易碰伤的葡萄），下单量在预估销量上**再打7折**。
- **价格带**：售价高于你现有均价30%以上的“高端新品”，试销量再减半，避免滞销积压资金。

**4. 最重要的实操建议**
- **签试销协议**：务必和供应商口头确认（最好书面或微信留痕）：“首批为试卖，若销量不佳，剩余部分可协商调换或按进价退回”。市场上多数正规供应商为推新品愿意承担这部分风险。
- **设立观察期**：试卖期控制在**3-5天**。若3天内复购率低于15%，或日均销量不及同品类老品的30%，果断停止补货。

**总结一句话**：**店铺日均销量的3倍**是最稳的起步数字，宁少勿多。如果供应商催量大，你可以用“先小批量验证市场，两周内如果动销好，立刻翻倍补货”作为谈判话术。
