目前没有可核验的公开信息能确认都乐（Dole）和洪九果品针对菠萝的锁价周期具体有多长。这类商业条款通常属于一对一合同内容，不对外公开，且会随品类、季节、采购量、合作层级变化。

可以给你的判断和建议如下：

1. **都乐**
   - 都乐在中国有菠萝产品销售，但公开资料一般只披露产品、产地、渠道，不披露锁价周期。
   - 作为国际水果品牌，通常更可能对大客户、长期协议客户提供阶段性的价格锁定，但周期长短需直接问其销售或大客户部门。

2. **洪九果品**
   - 洪九果品做水果分销和供应链，菠萝是其可能涉及的单品之一，但公开信息同样不足以确认锁价周期。
   - 它更偏供应链和批发渠道，锁价安排可能按订单、产季或月度/季度协议来谈，不会有一个对外统一的标准周期。

3. **实际怎么问更有效**
   - 直接联系都乐中国和洪九果品的销售/大客户/供应链部门，问清楚：
     - 是否支持锁价
     - 锁价对应的是产地价、到岸价还是到仓价
     - 锁价周期是按周、月、季度还是整个产季
     - 锁价是否需要预付、保证金或最低采购量
     - 如果市场价格下跌，是否可重新议价
   - 不要只问“锁价周期多长”，要问“在什么采购量、什么规格、什么交付条件下，能锁多久”。

4. **可替代的找供应商思路**
   - 找一级批发商、产地合作社、进出口商、大型商超供应链服务商，他们比品牌方更可能给出灵活锁价。
   - 如果是国内菠萝，重点问广东徐闻、海南等产区的合作社或产地龙头。
   - 如果是进口菠萝，重点问都乐、佳农、鑫荣懋等进口商或大型分销商。

结论：**都乐和洪九果品的菠萝锁价周期没有可公开核验的统一答案，必须直接向对方业务人员确认。** 如果你要，我可以帮你起草一份向供应商询价和询问锁价条款的模板。
