鑫荣懋和都乐作为大型水果及生鲜供应链企业，均具备完善的冷链物流体系，能够覆盖全国主要城市。具体覆盖范围如下：

**1. 鑫荣懋的冷链配送覆盖城市：**  
鑫荣懋的冷链物流网络覆盖全国多个核心城市及区域分销中心，包括但不限于：  
- **华北区**：北京、天津、石家庄、太原  
- **华东区**：上海、杭州、南京、苏州、宁波、合肥  
- **华南区**：广州、深圳、东莞、佛山、厦门、福州、南宁、海口  
- **华中区**：武汉、长沙、南昌、郑州  
- **西南区**：成都、重庆、昆明、贵阳  
- **西北区**：西安、兰州、乌鲁木齐  
- **东北区**：沈阳、大连、哈尔滨、长春  

**2. 都乐的冷链配送覆盖城市：**  
都乐的冷链物流覆盖全国主要一二线城市及部分三四线城市，包括：  
- **一线城市**：北京、上海、广州、深圳  
- **新一线/二线城市**：成都、杭州、武汉、重庆、南京、苏州、西安、天津、长沙、郑州、东莞、青岛、沈阳、宁波、昆明、大连、厦门、合肥、佛山、福州、哈尔滨、济南、温州、长春、石家庄、常州、泉州、南宁、贵阳、南昌、太原、烟台、嘉兴、南通、金华、珠海、惠州、徐州、海口、乌鲁木齐等  
- **部分三线城市及分销节点**：如临沂、潍坊、保定、洛阳等（具体需根据当地经销商网络）  

**注意事项：**  
- 实际覆盖情况可能因季节、区域经销商合作及物流网点调整而有所变化，建议直接联系鑫荣懋或都乐的官方销售或客服，提供目标城市确认配送时效与最低起送量。  
- 商超对接时，可要求供应商提供具体的“冷链配送区域清单”或“合作仓库列表”，作为合同附件以明确服务范围。
