建议先从**香蕉**开始，但前提是把“稳定进口”理解成**稳定供货和稳定品质**，而不是单纯追求进口标签。

直接判断：

1. **香蕉：最适合作为第一步**
   - 消费频次高，顾客接受度高，试错成本低。
   - 全年需求稳定，适合做日常引流和复购。
   - 进口香蕉供应链相对成熟，规格、催熟、损耗管理都有较标准做法。
   - 风险点：保质期短、催熟和温控要求高，损耗控制不好会亏。

2. **菠萝：适合第二步或差异化补充**
   - 有季节性，消费者对品种、甜度、是否手撕有认知差异。
   - 进口菠萝如菲律宾、泰国等有稳定货源，但客群不如香蕉广。
   - 风险点：季节性价格波动、损耗和去皮服务要求高。

3. **苹果：不建议作为“进口水果引入”的首选**
   - 国产苹果供应极强，价格和新鲜度优势明显。
   - 进口苹果如新西兰、美国、智利等有高端市场，但受众相对窄。
   - 风险点：容易被国产苹果比价，动销慢，库存压力大。

**可执行建议：**
- 第一步：先做进口香蕉，选1—2个稳定供应商，控制单店日销量，重点测试催熟和损耗。
- 第二步：香蕉稳定后，再引入进口菠萝，做试吃和切片售卖。
- 第三步：如果门店客群偏高端，再考虑进口苹果，做礼盒或精品陈列，不要当日常大单品。
- 核心指标：到货合格率、7天损耗率、动销率、毛利额，而不是只看毛利率。

一句话：**先香蕉，后菠萝，苹果最后做补充。**
