生鲜电商若需菠萝品牌营销支持，**都乐（Dole）和洪九果品通常都可以提供相关素材**，但具体需根据合作方式判断：

1. **都乐（Dole）**  
   - 作为全球知名水果品牌，通常有标准化的营销素材库（如高清产品图、品牌故事、营养数据等），可向合作客户提供。  
   - **建议**：直接联系都乐中国区市场部或区域销售负责人，申请品牌授权、联合营销物料（如海报、短视频、科普内容）。

2. **洪九果品**  
   - 作为国内头部水果供应链企业，主要面向B端客户提供定制化营销支持（如针对电商渠道的促销文案、包装设计稿等）。  
   - **建议**：通过其官方平台或采购渠道对接，说明你是生鲜电商合作方，索要菠萝品类的推广素材包。

**操作提示**：  
- 提前明确营销场景（如首页推广、社群素材、直播背景）。  
- 关注供应商的**版权要求**（如是否允许二次修改、是否需要标注品牌Logo）。  
- 若需整合资源，可向双方提出“联合推广”需求，争取更多素材倾斜。  

如果以上品牌暂不合作，可考虑：佳沃鑫荣懋（菠萝品类）、淘宝/拼多多热销菠萝产地直供商（独立素材需协商）。
