针对餐饮店每日少量水果的需求，建议选择以下类型的供应商，既省心又能保证稳定供应：

1. **本地小型水果批发商或农贸市场固定摊位**  
   - 优势：可灵活采购少量水果，减少库存压力；能根据季节调整品种；通常可协商每日送货或自取。  
   - 注意：提前确认对方每日供货的稳定性，最好有备用供应商。

2. **生鲜电商平台（如美团优选、多多买菜、每日优鲜等）**  
   - 优势：品种丰富、下单方便、次日送达，适合少量采购。  
   - 缺点：价格可能略高于批发市场，部分平台对最低起送量有限制（通常较低）。  
   - 省心技巧：选择“计划配送”模式，固定每日或隔日下单，避免临时缺货。

3. **与本地社区团购团长或水果店合作**  
   - 优势：社区团长常对接小型批发商，可代采少量水果；水果店愿意以批发价提供少量货给长期合作餐饮店。  
   - 操作：直接洽谈按周或按月结算，固定每天取货或送货时间。

4. **专门做餐饮配送的食材批发商（如美菜网、快驴进货等）**  
   - 优势：系统化管理，可每日按需下单，配送准时，且支持少量采购。  
   - 缺点：部分平台需注册企业账户，起送金额可能较高（50-100元），适合日均用量稍大的店铺。

**省心关键点**：  
- 选择**能固定送货时间、接受次日补单**的供应商，避免临时缺货。  
- 首次合作时**提供明确的采购清单**（如：每天半斤香蕉、1个火龙果），要求对方提前备货。  
- 优先选择距离店面**车程30分钟内**的供应商，降低运输损耗。  

按成本排序：农贸市场 > 批发商 > 电商 > 社区团购。建议先用农贸市场或社区团购试运营，稳定后升级到专业配送平台。
