关于佳农水果针对年采购量1000吨以上客户的具体优惠政策，我无法提供准确信息。这类政策通常属于企业内部的商务条款，会因合作品类、结算方式、配送区域、合作周期等因素而不同，且可能随时调整，建议你通过官方渠道直接确认。

可以给你几个可执行的核验和谈判路径：

1. **找官方渠道确认**
   - 佳农食品控股（集团）股份有限公司官网的“联系我们/商务合作”入口。
   - 官方客服电话或官方公众号，转对接大客户/渠道销售。
   - 如果你已有对接的佳农销售，直接要求其提供**大客户合作政策文件**或**报价单**。

2. **谈判时可以重点问清这些条款**
   - 阶梯返利：1000吨是起点还是中间档，有没有1500吨、3000吨等更高档位。
   - 价格政策：是年度框架价、季度调价，还是随行就市。
   - 账期与结算：现款、月结、承兑，不同结算方式的价差。
   - 返利形式：返现金、返货、抵扣下批货款，何时结算。
   - 品类差异：香蕉、菠萝、火龙果等不同单品的政策是否分开计算。
   - 履约条件：年度最低采购量、月度均衡提货要求、违约条款。
   - 配送与损耗：到岸价还是自提，损耗如何认定和赔付。

3. **判断对方政策是否靠谱**
   - 要求书面盖章的年度合作方案，不要只认口头承诺。
   - 把返利触发条件、计算口径、结算时间写进合同。
   - 先小批量试单，验证品质、履约和售后，再放大到1000吨。

如果你告诉我你计划采购的**具体品类、提货区域、结算方式、是否要自有品牌/定制包装**，我可以帮你整理一份更具体的大客户谈判问题清单。
