针对团购客户价格敏感的特点，**阶梯价通常比返利更合适**。具体分析如下：

1. **阶梯价的优势**  
   - **直观便宜**：客户在下单时就能看到明确的低价，直接降低心理门槛，符合“价格敏感”客户的即时决策需求。  
   - **简化计算**：无需等待返利结算，客户无需计算复杂规则，减少决策阻力，适合团购“拼量”场景。  
   - **促进批量购买**：设置“满50人-10元”“满100人-20元”等明确梯度，能激励客户自己组织更多人参团，推动销量。

2. **返利的劣势**  
   - **延迟感知**：返利通常需要购后结算（如次月返还），价格敏感客户无法实时看到降价，可能因为“当下贵”而放弃。  
   - **信任成本**：部分客户担心返利不兑现或流程复杂，尤其对初次合作的中小团购主。  
   - **操作繁琐**：需额外记录返利数据，增加管理成本，且容易引发金额争议。

3. **何时可考虑返利**  
   若供应商利润空间极低（无法进一步降价）、且客户群体为长期、复购率高的老客户（如企业季度集采），可尝试：  
   - **返利+消费券**：例如“满100单返5%积分，用于下次抵扣”，平衡价格敏感与长期黏性。  
   - **阶梯价与返利结合**：客户首次团购直接享受阶梯低价，后续复购按历史累计量给予返利（类似“累计阶梯价”）。

**结论**：优先用阶梯价降低决策门槛，如需长期合作可补充轻量返利（如积分），避免复杂结算规则。
