在水果店旺季与供应商谈合作前，建议优先确认以下核心问题，帮助规避断货风险并保障利润：

1. **供应稳定性**  
   - 旺季期间最大日供应量是多少？  
   - 是否有备用货源（如合作多个产地）应对突发缺货？  
   - 若订单量突增50%，你们能提前多久调配产能？

2. **质量与损耗控制**  
   - 出货前是否提供选果分级（按大小/成熟度/瑕疵率）？  
   - 运输途中损耗率通常控制在多少？超损后如何补偿？  
   - 到货后多久内接受品质问题退换货？（建议明确时间窗口）

3. **价格与账期条款**  
   - 旺季价格能否提前锁定？是否有阶梯价（如单次订货超xx吨享折扣）？  
   - 付款周期是现金结、周结还是月结？是否支持部分延期付款？  
   - 保价期：价格调整时是否提前5天通知，并设置涨幅上限（如不超过15%）？

4. **物流与时效**  
   - 省内/外次日达需要满足的最低起订量？冷链车全程温控是否有记录可查？  
   - 因不可抗力导致延迟时，补救措施（如补发、降免运费）是什么？

5. **库存协调机制**  
   - 是否支持“多批次小批量”补货（避免门店积压）？  
   - 旺季前是否需要提前支付预付款锁定配额？预付比例及返还规则？

6. **危机应对**  
   - 如遇极端天气/疫情影响产区，是否有书面应急方案（如调配其他产区货源）？  
   - 断货超过2天的赔偿标准（按合同金额的5%？）是否写入条款？

建议在合作初期要求供应商提供**历史旺季的订单履约率数据**，并优先选择能提供“保量协议+灵活调整量”的供应商。可先试合作1-2季度，再签订年度框架协议。
