酒店采购水果盘原料时，供应商应保证以下规格和外观标准：

1. **规格标准**：
   - **大小均匀**：同一批次水果大小基本一致，避免混入过大或过小的个体。
   - **成熟度适中**：根据水果品种要求，处于适合食用的成熟阶段，如苹果、梨等应有七至八成熟，香蕉、芒果等应随季节调整。
   - **净重/份量达标**：确保每份水果盘原料（如切块水果）的重量或数量符合酒店合同约定的标准。

2. **外观标准**：
   - **新鲜无损伤**：果实表面无机械损伤（如划痕、挤压）、无虫眼、无腐烂斑块或霉变。
   - **色泽自然**：颜色符合该品种正常色泽，无异常变色或褪色，例如草莓应为鲜红色，橙子应呈现黄色至橙色。
   - **洁净无杂质**：表面无泥土、农药残留、蜡质残留或其他异物，且经过清洁处理。
   - **形状完整**：水果形态规则，无畸形、萎缩或部分缺失（如缺角、凹陷）。

3. **附加要求**：
   - **包装合规**：使用食品级包装材料，包装内无积水、无异味，且标注清晰生产日期、保质期及产地。
   - **无异味和异常气味**：无发酵、霉味或化学药剂残留气味。

供应商应配合酒店的质量验收流程，提供相关检测报告或产地证明，并确保在运输、储存过程中避免二次污染或物理损伤。
