关于生鲜电商的菠萝品牌营销支持，**都乐（Dole）和洪九果品**作为国内外知名的水果供应商，通常都具备提供营销素材的能力，但具体性质和支持力度有所不同。

以下是详细分析：

**1. 都乐（Dole）：**
- **品牌背景**：国际知名品牌，拥有强大的全球供应链和成熟的品牌营销体系。
- **素材支持**：通常会提供**高清产品图片、品牌介绍、营养科普内容、种植基地视频、包装设计素材**等官方品牌资产。他们非常重视品牌形象，营销素材通常标准化且版权清晰。
- **合作方式**：如果你是与都乐官方渠道合作（如其中国区经销商或电商团队），他们一般会提供成套素材供电商平台（如天猫、京东、抖音）使用。特别是对于菠萝季（如菲律宾菠萝），他们会提供应季的推广主题海报。
- **注意**：如果是从批发市场或二级分销商采购，则可能无法获得官方素材，除非走官方授权路径。

**2. 洪九果品：**
- **品牌背景**：国内领先的多品牌鲜果集团，以规模化、产地直采著称（尤其擅长东南亚水果如泰国香水椰、越南菠萝蜜等，但菠萝也是其重要品项）。
- **素材支持**：作为B端供应巨头，他们在**电商渠道（尤其社区团购、抖音直播、地方性商超）** 的营销支持非常务实。通常会提供**实地采摘照片、产地证件、质检报告、口感卖点文案**。
- **合作方式**：如果你通过其官方电商渠道或大客户部采购，可以要求提供“开箱视频”“产地直发流程”等一手素材，这对生鲜电商的信任度提升很有帮助。

**重要建议：**
- **直接沟通**：不要依赖公开渠道猜测，**直接联系他们的官方电商销售或大客户经理**，说明你的电商平台、促销周期和所需素材清单（如15秒短视频、3张主图、直播话术）即可。
- **素材合规**：生鲜营销涉及食品安全，务必索要**产品检测报告**和**报关单**（如果是进口菠萝），并要求素材中不要出现“抗病毒”“防癌”等违规功效宣传。
- **替代方案**：如果这两家响应慢，也可考虑**佳沛（虽为奇异果但风格类似）、或是国产徐闻菠萝**的源头合作社，他们更愿意配合定制内容。

**总结**：两家**短期内都能提供基础素材（图/文/视频）**。但**若要深度定制或独家素材，都乐更偏向品牌规范，洪九更灵活配合促销节奏**。建议你直接向两者的电商负责人发一封“营销合作提案函”，说明你的采购量和曝光资源，以换取更优质的内容支持。
