在商超采购和销售菠萝时，**卖切好的（即切件/鲜切）通常比卖整果更符合现代零售趋势和门店盈利逻辑**，但具体操作需要结合门店定位、客流和损耗控制来平衡。以下是详细分析和建议：

### 一、主要权衡维度

| 对比维度 | 卖整果 | 卖切好的（鲜切果盒） |
|---------|--------|-------------------|
| **毛利率** | 较低（约30%-40%） | 较高（可达60%-70%，因为附加值高） |
| **损耗率** | **高**（顾客挑拣、试捏、削皮失败、熟度过快） | 可控（后场统一处理，只切品质好的果） |
| **客单价** | 低（论个买） | 高（可按盒定价，可混搭） |
| **消费场景** | 家庭囤货、送礼 | 即食、上班族、带娃家庭、懒人经济 |
| **人工成本** | 低 | 需要专门切果工（但可集中出活） |
| **鲜度管理** | 难（顾客摸捏易烂） | 容易保鲜（密封盒+冷藏） |

### 二、核心结论：建议 **“整果引流 + 切件创利”双轨并行**

**1. 整果作为“引流品”必须保留**
- 原因：中老年顾客、家庭主妇更习惯买整果自己削，认为更新鲜、便宜。
- 操作：摆少量（比如6-8个）在显眼位置，标价低于竞争对手，吸引客流。
- 痛点解决：**给整果加套网袋/托盘+保鲜膜**，禁止顾客徒手捏果，能大幅降低损耗。

**2. 切好的作为“利润主推”**
- 更适合作为门店主销，因为：
  - 走量快，单位盈利高；
  - 减少挑拣损耗和削皮垃圾处理；
  - 可做“水果杯”“果切拼盘”提升连带销售。
- 操作建议：
  - **每日分早、晚两批次现切**（早上切一批，下午补一批），售卖期不超过4小时，卖不完当天下架报废，不隔夜。
  - 切好后放在透明保鲜盒中，底部垫吸水纸巾，标注“当日现切”和价格。
  - 定价策略：**切好的每斤价格应比整果高15%-20%**（覆盖人工和损耗）。

### 三、实际操作中的“关键点”

1. **必须控制熟度**：采购时别买全生果，也别买太熟果。整果选7成熟（青黄相间），作为鲜切的可选8-9成熟（当天能甜）。
2. **现场切割标准**：去皮后用盐水或柠檬水浸泡1分钟防氧化，沥干装盒。
3. **试吃带动转化**：在切果区放一小盘试吃块，让顾客先尝后买，能显著提升切件销量。
4. **残次果处理**：轻微碰伤的菠萝，别丢——切块做成果切低价位促销（如9.9元/盒处理装），挽回损耗。

### 四、什么时候可以只卖一种？

- **如果门店位于写字楼/地铁商圈，客流快、不爱动手**：建议只卖切好的，整果可以完全不进或仅做预订。
- **如果门店位于传统社区、以中老年客流为主**：整果为主，切件作为补充，可以少量试水。
- **如果是精品超市**：整合毛利，应全部做鲜切盒装，但可提供“整只代削”服务（收取2-3元加工费）。

### 五、最终建议方案（以标准社区生鲜店为例）

- **采购比例**：整果：鲜切果 = **4：6**（整果引流，切件变现）。
- **陈列**：整果放门口地堆（价格醒目），鲜切盒放收银台附近冷柜（冲动性购买）。
- **库存周转**：全天销量中，鲜切必须占每日菠萝销售量的60%以上，否则说明定价或陈列有问题。

**一句话结论**：不是二选一，而是 **“用整果吸引人买，用切好的让门店赚钱”** 是最适合绝大多数商超的运营模式。如果你需要进一步测算每日切多少盒、什么价位的详细工具表，我可以帮你梳理。
