结论：**按斤最容易控成本，但管理成本最高；按箱/按份省事但容易失控。多数食堂更稳妥的做法是“按斤定价、按箱/份验收和结算上限相结合”。**

具体选择取决于你的采购规模、水果品类和食堂管理能力：

1. **按斤结算：最适合成本控制**
   - 优点：单价透明，方便比价，能精确核算每餐成本，也便于盘点损耗。
   - 缺点：需要称重、记录、验收，人工和时间成本高；如果供应商称不准，容易有争议。
   - 适用：苹果、香蕉、橘子、西瓜等大宗、单价波动明显的水果。

2. **按箱结算：适合标准化程度高的水果**
   - 优点：下单快、验收快、配送方便，适合固定规格的箱装水果。
   - 缺点：箱内可能有大小果、坏果、重量不足；不同批次净重可能不一致。
   - 管理关键：必须约定“净重标准”“允许误差”“坏果率上限”，不能只看箱数。
   - 适用：箱装苹果、橙子、梨、猕猴桃等有稳定包装规格的品类。

3. **按份结算：适合直接分发到人的场景**
   - 优点：最简单，按人头或份数发放，便于控制每人份量。
   - 缺点：单价通常偏高，份量固定，灵活性差；供应商容易在单份克重上缩水。
   - 管理关键：约定每份克重或个数，并抽查。
   - 适用：切好的果盒、单人份水果、加餐水果。

**推荐管理方案：**
- 主结算方式：**按斤核算成本和单价**。
- 下单方式：**按箱或按份下单**，方便配送和发放。
- 验收方式：**按箱抽检净重，按份抽检克重，按斤记录实际入库量**。
- 合同约定：净重、坏果率、允许误差、退换货规则、价格随行就市机制。
- 台账要求：日期、品类、供应商、规格、箱数/份数、抽检净重、单价、金额、验收人。

这样既能保留按斤结算的成本透明度，又能减少每天逐斤称重和比价的管理负担。如果食堂规模小、人手少，可以优先“按箱结算+严格净重验收”；如果规模大、成本敏感，优先“按斤结算+按箱配送”。
