第一次和水果供货商合作，建议遵循**“小批量、多品种、严标准”**的原则，避免一次性压货造成损失。以下是针对香蕉、苹果、橙子的具体试单步骤和注意事项：

### 一、共同原则（试单前沟通清楚）
1. **明确规格**：要具体到克重、大小、颜色等级。例如苹果“80#以上”（直径80mm）、香蕉“七成熟或八成熟”、橙子“果径60-70mm”等。
2. **谈好损耗处理**：明确“包售后”条款，例如到货后一定比例内（如2%-5%）的烂果、坏果由供货商承担，或只抵扣成本。
3. **物流方式与到货检查**：优先选择**冷链直达**或**保温箱+冰袋**（夏天尤其重要）。到货后当场开箱查验，拍摄视频和照片作为凭证。

### 二、各水果试单实操细节

#### 1. 香蕉（最容易烂、熟度控制最难）
- **试单量**：建议先拿**1-2箱**（约13-18公斤/箱）。
- **关键看**：
  - **熟度**：香蕉应在**七成熟至八成熟**（果柄绿色，果体微黄，但未泛黄点）。太生（全绿）难催熟、不能卖，太熟（大量黑点）不耐放。
  - **催熟能力**：了解供货商是否有**催熟箱**或承诺**到货后自然放置2-3天**即可上市。若你无催熟条件，直接要求供货商发**催熟好的黄香蕉**（到货当天或次日可卖）。
- **验收标准**：打开包装确认有无**压伤、断裂、腐烂**。用“捏一捏”法：果肉微硬但可轻微弯曲为佳。
- **试单周期**：香蕉不耐放（常温约3-5天），试单1-2周内复购。

#### 2. 苹果（存放期较长，但分级最乱）
- **试单量**：建议**2-3箱**（约20公斤/箱），不同等级或品种各1箱。
- **关键看**：
  - **品种与产地**：明确是“红富士”、“嘎啦”还是“花牛”，以及产地（山东、陕西、新疆等）。同一品种不同产地口感差异大。
  - **规格分级**：要求**分拣标签**（例如“70#”、“80#”混装要确认比例）。避免小果混入大果箱。
  - **内在品质**：切开看**果心是否褐变、有无苦涩味、甜度**。
- **验收标准**：抽查10%-20%，称重、目测外观（无机械伤、霉斑、黑点）。苹果纸箱重量也要扣减（部分不良商家用重纸箱增重）。
- **试单周期**：苹果可存放1-2周，试单可隔周一次（共2-3次）后再正式合作。

#### 3. 橙子（糖度、酸度、果皮颜色最重要）
- **试单量**：**2-3箱**（约20公斤/箱），推荐不同采摘时间或品种（如纽荷尔、夏橙、耙耙柑等）。
- **关键看**：
  - **新鲜度**：观察果蒂是否**干枯脱落**、果柄是否**青色**（青色表示采摘不久）。果皮**油胞清晰、光滑**为佳，发皱或发软的橙子不新鲜。
  - **甜酸比**：要求供方提供**糖度仪检测数据**（通常12度以上为甜，但需试吃判断）。酸味过重可能因未充分成熟。
  - **汁水与化渣度**：切开后尝一口，汁水足、入口化渣（无渣感）为优质。若果肉硬或纤维多，说明品种或产地有问题。
- **验收标准**：随机取3个橙子切开，观察**果皮厚度**（厚皮橙出肉率低）、**有无“干水”现象**（果肉缺水呈絮状）。
- **试单周期**：橙子耐放（常温1-2周），可集中试单一次后，与苹果、香蕉搭配成“水果礼盒”测试顾客接受度。

### 三、试单后的决策流程
1. **记录对比**：做简单表格，记录每一批的到货损耗率、顾客反馈（例如“苹果太酸”、“香蕉催熟慢”）、整箱实际重量（与标重差异）。
2. **小范围测试**：第一次试单后，先放入店内**熟客群**、**社区团购测试**，收集3-5单反馈后再决定是否扩量。
3. **建立二次谈判筹码**：如果试单发现质量问题（如苹果有霉心、橙子酸度高），留存照片证据，要求供货商**补发或扣款**。若连续2次无法满足标准果断换人。

### 四、避坑提醒
- **不要全部从一家拿货**：香蕉、苹果、橙子至少各找2家不同供应商试单，对比后再选择。
- **警惕“缺斤少两”**：亲自用电子秤复验整箱净重（减去包装箱重量），误差超过1%要求退款。
- **合同写清细节**：即使小试单也要微信留痕（写清规格、价格、售后条款），不轻易打全款。

**最后一句总结**：宁可多花50元运费做小批试单，也不要把2000元砸在一箱坏果上。第一次合作，优先选择能接受**“先发货后结账”**或**“退换货有保障”**的供货商。
