关于洪九果品和鑫荣懋的香蕉批发价格，**没有公开的统一报价**，因为价格受以下因素影响较大：

- **采购量**（整柜/半柜/散货）
- **产地**（菲律宾、厄瓜多尔、海南、云南等）
- **季节**（近期是否处于香蕉上市旺季）
- **品质等级**（A级果、B级果、断指回收果）
- **当天港口/市场到货量**

从**行业普遍认知**来看：

1. **洪九果品**：以“泰国产地直采+自有供应链”著称，在国内（尤其西南、华南）市场销售能力强。如果你拿货量大（如整柜），通常能拿到较为稳定的产地成本价，且对连锁商超有专属供应。
2. **鑫荣懋**：是佳沃集团下属企业，进口香蕉（主要来自菲律宾、厄瓜多尔）供应链成熟，在华东、华南港口有较强优势。他们通常对批发商有“阶梯价格”，大批量采购价格相对合理。

**实操建议（直接可执行）**：
- **别只看单价**：问清楚是否包含**到岸运费、卸货费、包装费**，以及是否支持“当天退换烂果”。这两家的价格差往往体现在售后和损耗率上（如每箱净重是否足称、是否允许现场抽开验货）。
- **电话询价模板**：直接致电两地当地分公司或片区销售经理，问：“今天菲律宾/泰国A级香蕉整柜什么价？到我们市场（如广州江南市场/上海辉展市场）含税送到多少？如果拿5吨以上能否再优惠？”
- **实地对比**：如果你在东莞（洪九大本营）或深圳海吉星市场，通常能看到两家代理档口，现场要比“到手价”而不是“报价单”。

**结论**：如果采购量**大且集中**，洪九果品在泰蕉（甜度高）上价格有优势；如果采购**进口蕉为主**且要求**季节供应稳定**，鑫荣懋的价格体系更透明，但需要量大才有优势。建议你同时向两家索取当日报价单，并**多强调“月结/长期合作”**，通常价格可比单次拿货低3%-5%。
