旺季最怕的不是没货，而是“口头说有货，真到要补时掉链子”。和供应商谈合作，建议提前把下面几类问题问透，并尽量落到书面或微信记录里：

1. **供货能力**
   - 旺季每天/每周最多能稳定供多少？
   - 我这种单品，比如西瓜、荔枝、车厘子，高峰期能不能优先保我？
   - 如果多家同时抢货，按什么顺序分配？

2. **货源与品质**
   - 货源是自有基地、批发市场还是调货？
   - 规格、等级、成熟度、糖度能不能稳定？
   - 坏果、次果比例大概多少？怎么赔付？

3. **价格与波动**
   - 旺季价格是锁价还是随行就市？
   - 提前几天报价？一天调几次价？
   - 如果我提前下单，能不能按锁定价结算？
   - 有没有起订量、返点、账期或押金？

4. **下单与配送**
   - 最晚几点下单？当天送还是次日送？
   - 配送费谁出？满多少免运费？
   - 临时加单、改单、取消单怎么算？
   - 节假日、雨天、凌晨到货能不能安排？

5. **缺货与替代**
   - 缺货提前多久通知？
   - 能不能换同价位替代品？
   - 缺货导致我断货，有没有补偿？

6. **售后与结算**
   - 烂果、少斤两、错发怎么处理？
   - 拍照取证后多久赔？赔现金还是扣货款？
   - 结算周期是现结、周结还是月结？
   - 对账以谁的单据为准？

7. **合作保障**
   - 能不能签简单供货协议，写清价格机制、保供量、赔付标准？
   - 旺季前要不要交定金锁货？
   - 如果连续两次断货或品质不达标，怎么退出？

最实用的一句话：**别只问“有没有货”，要问“断货了怎么办、赔多少、多久补上”。**  
谈的时候最好把关键承诺写进合同或聊天记录，尤其是保供量、锁价、赔付和配送时间。
