针对公司下午茶水果批量配送，建议按以下步骤选择合适的供应商：

1. **明确需求（关键第一步）**  
   - 预估每周/每次采购量（如人数、频次）  
   - 明确水果种类（避免易损、易变质品种，如草莓/香蕉，考虑苹果、梨、橙、葡萄等耐储运果）  
   - 确定配送时间窗口（如每周一、三上午）与地点（多个办公区？）

2. **筛选供应商类型**  
   - 本地批发市场/大型果品批发商：价格低但需自行提货、分装，适合规模大且有运输团队的公司。  
   - 专业水果配送公司：提供定制化服务（如分切/装盒/每日配送），价格较高，但省心，适合20人以上固定需求。  
   - 连锁生鲜平台（如美团快驴、美菜）：系统化下单、配送稳定，可APP操作，但水果品质波动需现场验收。  
   - 周边社区团购/果切店：小批量灵活，适合10人以下团队，但需自行对接配送能力。

3. **重点考察指标**  
   - **配送能力**：能否按时送达？是否加收运费（如满减条件、偏远区域附加费）？  
   - **品质稳定性**：要求试送1-2次（特别是第一次批量配送后抽查果品质量、包转完整性）。  
   - **退换流程**：若到货坏果、压伤、腐烂，是否按比例当场退换/下次补送？合同需明确标准（如坏果率<5%）。  
   - **结算方式**：月结/周结/单笔结算？是否对账明细？是否有发票？

4. **执行建议**  
   - **优先启动小批量试单**：选择2-3家候选供应商，各下单一次20-50人份，记录：准时率、水果新鲜度（以到货当天切开验看为准）、客服响应速度。  
   - **签订短期合同**：如1-2个月试合作期，明确：每日/周最低采购量、送货频次、损耗赔偿条款（如“每箱坏果超过3个，按整箱金额80%赔付”）。  
   - **现场抽检**：每次到货后由行政或间接负责人随机开箱检查，拍照留证，建立供应商考核表（权重：品质40%、准时30%、售后30%）。  

5. **额外注意**  
   - 避免选择只线上展示的陌生供应商，优先同城有实体店面/仓库的商家（可实地看货）。  
   - 如需分切（如西瓜、哈密瓜），提前确认供应商是否具备资质（如食品经营许可证、切配人员健康证）。  

如果你有具体城市、预算或人数，可以进一步细化筛选维度（例如深圳单次50人份预算300元以内，可筛选本地水果配送服务商）。
