采购菠萝时，可以通过以下方法判断熟度，以减少损耗：

1. **观察外观**：
   - 果皮颜色：成熟菠萝果皮呈金黄色或橙黄色，带有光泽；青绿色通常表示未熟。
   - 叶片：新鲜菠萝顶部的绿叶应该挺直、鲜绿，若叶片黄萎或干枯，可能过熟或存放过久。
   - 果眼：成熟菠萝的果眼（表面突起）饱满、分布均匀，未熟时果眼较平。

2. **闻气味**：
   - 成熟菠萝底部（果柄处）会有浓郁香甜的菠萝香气；若气味太淡或有酒精味，则可能过熟或已变质。

3. **按压手感**：
   - 用手指轻压菠萝表皮，成熟菠萝应略微有弹性，不硬不软；若按下去很硬，说明未熟；若按后渗水或过软，说明过熟或内部腐烂。

4. **掂重量**：
   - 大小相近的菠萝，较重的代表水分充足、成熟度适中；过轻可能已失水或不够新鲜。

**采购建议**：
- 优先选择外皮金黄、气味香甜、稍有弹性的菠萝，这类果实适合在店内短期销售（3-5天）。
- 若需长期存放，可选购七成熟（果皮黄中带绿、按压稍硬），让其在店内自然成熟。
- 避免采购表皮有黑斑、褐斑或软塌的菠萝，这类损耗风险高，通常已过熟或损坏。

通过以上判断，可以平衡采购成本和顾客满意度，减少因熟度不当造成的损耗。
