要判断批发商卖菠萝时哪种规格更容易出货，建议从以下角度分析，并结合实际数据做决策：

1. **了解客户需求**  
   - **餐饮/加工客户**：通常偏好中等大小、价格适中、出肉率稳定的菠萝（如约1.2-1.5公斤/个），因为需要大量加工或切配。  
   - **零售/终端客户**：偏爱小个头（约0.8-1.2公斤/个），方便消费者一次性吃完，减少浪费。  
   - **高端市场/礼品渠道**：需要外观完美、大小均匀、包装精美的菠萝（如2公斤以上大果）。

2. **分析销售数据**  
   - 查看过往不同规格菠萝的销量、退货率、周转天数。如果某种规格退货率低、补货频繁，就是热销款。  
   - 统计近期市场需求：可向固定客户（餐厅、超市）询问他们需要的规格变化，或观察竞争对手同类规格的出货情况。

3. **实地观察与测试**  
   - 在一段时间内，将不同规格菠萝分堆摆放，记录每天哪个堆最先被拿走、被问询最多。  
   - 针对新客户，主动推荐中等规格，看成交率；同时保留少量小果和大果，测试反馈。  

4. **考虑物流与损耗**  
   - 小规格菠萝包装难度低、损耗少，适合长距离运输；大规格菠萝易碰撞、损耗高，更适合本地快销。  
   - 根据你的仓储和配送能力，选择运输和存储成本更低的规格。

5. **参考季节与市场趋势**  
   - 菠萝旺季（如3-7月）时，大果产量高、价格有优势，出货快；淡季时，小果更受欢迎（因价格低、风险小）。  
   - 留意社交媒体或电商平台流行的“整颗菠萝”或“创意吃法”，可能带动特定规格需求。

**建议行动**：  
先从历史销售数据或客户问询中找到主要需求（比如60%要中果），如果没有数据，可以用一周时间小批量试销2-3个规格（小果、中果、大果），对比每日出货量和利润，重点选择**日均出货量最高、补货频次稳定**的规格作为主力产品。同时保持与客户的沟通，随时调整。
