可以。餐饮店可以与供应商协商签订**锁价协议**（又称价格锁定协议或保价协议），这是一种常见的稳定成本的方式。不过，锁价并非无条件可行，需要结合实际情况来谈。以下是具体建议：

1. **锁价的前提**：
   - 供应商通常只愿意在**短期（如1-3个月）**或**特定品种（如当季、耐储存的水果）**上锁价。
   - 如果你有**稳定的采购量**和**长期合作基础**，供应商更可能同意。

2. **谈判策略**：
   - **量化需求**：提供明确的预估采购量（如每日/每周固定用量），让供应商看到长期稳定订单的价值。
   - **分品种谈**：对价格波动大的水果（如草莓、芒果）可谈“浮动区间锁定”（如锁定上下浮动不超过5%），对较稳定的（如苹果、橙子）可谈固定价。
   - **成本透明化**：要求供应商提供定价依据（如产地收购价、运输费用等），共同设定合理的基准价。
   - **附加条款**：在协议中写明“锁价期内供应商不得因市场涨价单方面提价”，同时你承诺“锁价期内不随意降低采购量”。

3. **风险与备选方案**：
   - **风险**：锁价可能高于市场价（如果市场价大跌），或供应商因利润过低降低品质。
   - **备选方案**：跟2-3家供应商分别锁价不同品种，或签订“价格保护协议”（如市场价跌至锁定价以下时按市场价结算）。

4. **实操步骤**：
   - 先收集近期水果价格波动数据（如批发市场报价），算出你的成本敏感品种。
   - 向供应商提出“试点锁价3个月，若合作顺畅再延长”。
   - 在合同中明确锁价品种、锁定期、价格、违约责任（如提前解约赔偿）。

总之，锁价可行但需灵活谈判，建议从常用、耐储的水果品种开始尝试，并配合多供应商策略分散风险。
