针对商超会员日水果活动，供应商需提前从货源、物流、陈列、人员和应急等方面做好配合，具体准备如下：

1. **货源与品质保障**  
   - 提前与商超确认活动主推的水果品类（如当季热销、高毛利或引流品），确保库存充足，避免断货。  
   - 提前1-2天提供样品供商超质检，确保水果新鲜度、糖度、成熟度符合标准（如草莓无软烂、芒果7-8成熟等）。  
   - 按预计销量1.2-1.5倍备货，预留加单通道（如次日可补货）。

2. **物流与时效协调**  
   - 与商超敲定到货时间窗口（如会员日清晨6:00前到货），避开客流高峰期。  
   - 使用冷链配送（如冷藏车控温0-4℃），按商超要求分装为整箱或标准份（如每盒500g），贴好价签和条码。  
   - 准备少量应急补货车辆，应对突发增量需求。

3. **陈列与促销物资**  
   - 提供专用陈列道具（如倾斜展示架、保鲜喷雾器、试吃台），并配合商超设计堆头位置（主通道端架或入口处）。  
   - 配备足量试吃品（如切好的瓜果丁、牙签、纸巾），每半小时更新一次确保新鲜。  
   - 设计活动海报、跳跳卡或价签标识（如“会员专享价”“限时秒杀”），突出优惠力度。

4. **人员与现场支持**  
   - 安排至少1名专职导购或促销员，现场进行试吃引导、剥皮去皮服务（如蜜瓜、菠萝）及补货。  
   - 提前培训员工关于产品特点（产地、甜度、保存方法）、会员价计算方式，并掌握简单削切技巧。  
   - 备好备用塑料袋、手套、切菜工具等耗材。

5. **突发应对预案**  
   - 预留备用货源（如库存5%），防爆款断货。  
   - 准备坏果替换方案（如承诺“买贵退差”“坏果包赔”），并携带少量备用水果用于顾客投诉补偿。  
   - 确认商超现场协调人联系方式，确保能快速响应设备故障或变化（如货架调整、电动车禁入等）。

**关键检查清单**：  
- 活动前3天：确认到货日期、产品规格、陈列方案。  
- 活动前1天：完成送货、验收、上架试饮/试吃测试。  
- 活动当天：7:00前完成补货，9:00前确认导购到位。

通过以上准备，可保障供应及时、现场可控，降低售后风险，提升会员日水果销售转化。
