水果店在旺季前与供应商谈判，目标是：**货源稳、品质好、价格合理、应急快**。为了不让“断货”打乱你的生意，建议在谈判桌上提前问清以下8个核心问题。

### 一、关于供货稳定性（最核心）

**1. “旺季期间，您的日均最大可供应量是多少？能否保障我店优先发货？”**
    - **为什么问**：旺季时供应商往往同时养着多家客户，直接问“最大量”和“优先级”，能判断他是否真的把你当重点客户。如果对方含糊其辞，要警惕他旺季时“看人下菜碟”。
    - **追问**：“如果我下单量超出您的最大量，您会如何处理？比如能否帮忙调其他渠道的货？”

**2. “如果出现极端情况（如产地暴雨、交通管制、市场涨价），您通常提前多久通知我缺货？是否有应急调货渠道？”**
    - **为什么问**：断货往往不是日常订单问题，而是突发事件。看对方有没有预案，比看他说的供货能力更重要。
    - **判断标准**：成熟供应商会说“提前3天预警”“有备选基地”，不成熟的只会说“到时候再说”。

### 二、关于价格与账期

**3. “旺季价格如何浮动？是否有锁价协议或保底价？”**
    - **为什么问**：旺季水果价格波动快，一天一个价。问清楚涨价机制、是否允许提前锁价锁定成本，防止旺季利润被吃光。
    - **补充**：“如果旺季前我预付定金锁量，价格能给到什么优惠？”

**4. “账期是多久？支持现结、周结还是月结？旺季会临时加价或要求先款后货吗？”**
    - **为什么问**：现金流紧张时，被供应商临时改账期是断货的隐形原因。明确账期规则，避免旺季被“卡脖子”。

### 三、关于品质与验收标准

**5. “旺季到货的品质验收标准是什么？如果到货出现坏果、烂果，退换货政策怎么执行？”**
    - **为什么问**：旺季为了赶量，品质容易下滑。提前约定“验收标准”（如坏果率≤5%按比例扣款，超过直接换货），避免事后扯皮导致缺货。

**6. “不同批次的水果，能否提供产地证明和农残检测报告？”**
    - **为什么问**：一是确保正规货源，二是旺季容易混入次品，有凭证好追溯。

### 四、关于物流与时效

**7. “旺季发货频率是每天一次还是两天一次？几小时能送到我店里？如果配送延迟，有没有补偿？”**
    - **为什么问**：断货不只是没货，也可能是货在路上。明确配送时效（如当天16:00前下单次日早上到），旺季宁可“多拆批次”也别“一车囤货”。

### 五、关于多品类协同（附加加分项）

**8. “旺季畅销的几款主力水果（如西瓜、葡萄、榴莲），如果某一款缺货，能否用同价位的其他爆款替代推荐？”**
    - **为什么问**：万一某款真的断货，供应商能否及时提供“替补商品”，让你货架不空，这是保命策略。

### 谈判动作建议

- **不要只谈“量”**，把“断货预警机制”写进口头协议（或小批试合作一个月看响应速度）。
- **用“长期合作”换承诺**：明确表示“旺季稳定供货，淡季我也优先定您的货”，让供应商觉得你是长期饭票。
- **首次合作试试水**：旺季前先下1-2次小额订单测试对方的发货速度、品质和售后响应，再决定是否加大订单。

**一句话总结**：把“断货风险”拆解成“供应量、应急方案、价格机制、品质验收、物流时效”五查，面上问得细，供应商才不敢糊弄你。
