批发商在谈水果品牌代理时，区域保护和串货是核心利益条款，必须问清楚、写进合同。以下是可以直接照着问的清单。

## 一、区域保护要问什么

**1. 保护范围怎么界定**
- 我的独家/优先代理范围是哪个（省/市/区县/具体渠道）？
- 是"独家代理"还是"多家共存"？同区域还会不会签第二家？
- 保护是按行政区划，还是按渠道（商超/批发市场/电商/社区团购）分开？

**2. 保护的力度**
- 品牌方自己会不会在我区域内直营、开旗舰店或做电商发货？
- 线上（天猫/京东/抖音）发货覆盖到我的区域算不算冲突？
- 保护有没有时间限制，续约时范围会不会缩？

**3. 业绩对赌**
- 区域保护是不是跟最低进货量/销售额挂钩？达不到会怎样（取消独家？缩范围？）
- 考核周期是多久，按进货额还是实际销量算？

## 二、串货问题要问什么

**1. 定义**
- 什么算串货？跨区销售、低价倾销、还是非授权渠道销售？
- 线上跨区发货算不算串货？

**2. 防串货机制**
- 产品有没有区域编码、批次追溯、防窜货标识？
- 品牌方怎么监控和查证串货？

**3. 违约处理**
- 发现别人串货到我区域，品牌方多久处理、怎么处理？
- 对串货方的处罚是什么（罚款/断货/取消代理）？
- 我的损失有没有补偿机制？

**4. 我自己被投诉串货时**
- 认定流程是什么？有没有申诉机会？
- 处罚前会不会先沟通，还是直接断货扣保证金？

## 三、必须落到合同里的动作

1. **书面确认独家范围和期限**，口头承诺不算。
2. **明确串货的判定标准和处罚条款**，越具体越好。
3. **约定品牌方自身的销售边界**（自营/电商是否进入我的区域）。
4. **保留考核与保护挂钩的细节**，避免被随意缩范围。
5. **保证金、断货、解约的触发条件**逐条看清楚。

## 四、谈判时的判断要点

- 如果品牌方**回避写独家**、只说"你先做"，基本可判断保护力度弱。
- 如果**线上不纳入区域保护**，你要评估电商冲击有多大。
- 如果**串货没有可执行的处罚**，区域保护等于空谈。
- 水果品牌尤其看**供货稳定性**（产地、季节、冷链），串货常因供货不足引发，可一并问清供货保障。

一句话总结：**区域保护问"范围+力度+考核"，串货问"定义+监控+处罚+申诉"，全部写进合同才算数。**
