与水果供应商签订年度合同时，以下几个条款容易踩坑，需特别关注并明确约定：

1. **价格调整机制**  
   - 水果价格受季节、气候、运输成本影响波动大。建议明确价格浮动范围（如允许±5%调整）、调价触发条件（如连续两周市场均价变化超10%）、调价申请周期（如每月1次），避免供应商单方面大幅涨价。

2. **质量标准与验收**  
   - 避免模糊描述如“优质水果”。应细化品种、产地、糖度、成熟度、外观（如无腐烂、虫蛀）、大小规格（如苹果直径≥7cm）。明确收货时验收标准（如抽检比例5%，烂果率≤3%），并约定不合格品的处理方式（如拒收、降价20%或限期换货）。

3. **供货与配送责任**  
   - 需明确最低/最高起订量、交货频率（如每周二/五）、配送地址、运损责任（如运输途中损耗由供应商承担≤1%，超出部分赔偿）。建议约定延迟交货罚则（如每日按订单金额0.5%扣款）。

4. **账期与付款条件**  
   - 避免“货到付款”或“月结30天”过于笼统。应明确对账周期（如每月5号）、开票要求（如增值税专用发票）、付款到账时限（如验收后15个工作日）。可添加“试用期”条款（如前3个月缩短账期至15天）。

5. **违约责任与解约条款**  
   - 设定双方违约情形（如连续3次质量不合格、连续2周断供）及具体赔偿标准（如按未履行合同金额的5%赔偿）。同时约定解约通知期（如提前30天书面通知），避免无限期绑定。

6. **知识产权与保密**  
   - 防止供应商泄露超市的采购策略、促销计划或客户数据。需明确保密义务（无论合同是否终止）、赔偿上限（如10万元）及纠纷管辖地（如超市所在地法院）。

**建议**：  
- 在合同中加入“定期价格复核”条款（例如每季度双方参考批发市场均价协商调整）。  
- 要求供应商提供质检报告（如农残检测）、采摘及运输记录，作为结算依据。  
- 保留年合同内每月试用期，若第一个月履约不合格，可单方面终止合同。  

若供应商为小型企业，可增加其法人或股东的个人连带担保条款（如用房产抵押），降低履约风险。
