针对超市水果区提高客单价，核心策略是**让顾客“觉得占便宜且买得更多”**，并利用不同水果的消费特性来组合。

以下是针对香蕉、菠萝、苹果的三种可落地的组合方案，按目的不同区分：

**方案一：主打“家庭健康套装” —— 最大程度提升总价**

-   **组合方式**：**“能量早餐/下午茶组合”**。选**苹果**（口感脆甜的，如红富士）+ **香蕉**（选色泽金黄、短粗的），再配一个**菠萝**（现场帮忙去皮切块）。
-   **定价策略**：不按斤卖，按“包”卖。例如：一包3个苹果 + 1串香蕉（约500g）+ 半颗切好的菠萝，定价 **15.9元/包**（比单买便宜4-5元）。
-   **陈列话术**：“早餐水果包，给孩子带学校，给家人当下午茶，一次买齐，折算下来每斤不到3块钱。”
-   **为什么能提客单价**：苹果和香蕉重量大，菠萝切块后重量消失感强（顾客看不出具体重量），顾客从“买1斤苹果”变成“买一整套”，总价从5元提升到15.9元。

**方案二：主打“季节尝鲜礼盒” —— 瞄准周末囤货族**

-   **组合方式**：**菠萝**是“视觉锚点”（很显眼），选大的、叶子翠绿的；**苹果**作为“走量基底”（一箱或5斤装）；**香蕉**作为“凑单小件”。
-   **定价策略**：推出**“周末欢乐箱”**：1个大菠萝 + 4斤进口苹果 + 2斤香蕉，只要 **39.9元**（正常单买合计约48元）。
-   **陈列话术**：“周末家庭储备箱，菠萝当天吃，苹果放一周，香蕉2天吃完刚好接上。”
-   **为什么能提客单价**：用大菠萝和礼品感纸箱制造“大包装”印象。顾客原本只想买几根香蕉，看到这个箱子只要39.9元，感觉单价被拉低，从而一次性支付更高金额。

**方案三：反向组合“买赠互补” —— 促进冲动消费**

-   **组合方式**：苹果是做果酱或烘焙的；菠萝是当季调饮品的。
-   **定价策略**：**买菠萝（任意一个）加2元，换购原价6元的苹果3个；或者买满15元香蕉，菠萝按5折出售**。
-   **陈列话术**：“菠萝回家切块泡盐水，剩下的果芯别扔，和苹果香蕉一起打成奶昔，绝配。”
-   **为什么能提客单价**：苹果和香蕉单价低，作为“换购品”不心疼；菠萝单价高，作为“让利品”让顾客觉得占了很大的便宜。顾客为了打折的菠萝，可能多买好几根香蕉，从而提高了整单金额。

**实操提示（非常重要）：**

1.  **摆放位置调整**：促销组合包必须放在**主通道显眼处**，而散装的香蕉、苹果要放得远一点。这样顾客拿起组合包后，不愿走回头路去散装区，直接结账。
2.  **菠萝切割现场化**：一定要有现场切菠萝的服务。切好的菠萝放在透明盒里，和香蕉、苹果捆绑，视觉冲击力最强，利润也最高（因为算上了人工和损耗）。
3.  **“买3免1”替代“第二件半价”**：建议选3种水果各1份的组合，不要做“第二件半价”，因为香蕉和苹果放不久，做“买二送一”容易导致顾客拿回家烂掉产生客诉。**选“一个菠萝+一袋苹果+一把香蕉”固定总价**，让顾客觉得是“一套解决方案”，而不是“为了促销而堆量”。

**最终执行建议**：优先使用**方案一（能量套装）**，因为它通俗易懂，且苹果和香蕉能大量出货消化库存，菠萝作为高客单主力。定价不要低于14.9元，否则坪效偏低。
