关于您提到的**都乐（Dole）** 和**鑫荣懋**这两家供应商，以下是一些基于公开信息和行业常识的判断：

**1. 都乐（Dole）**
- **产地溯源**：都乐是全球知名的水果企业，拥有完善的全产业链管理。其在南美、东南亚（如菲律宾）等核心产区有自有农场或长期合作基地，通常能够提供**产地证明**（如原产地证、种植基地信息）。
- **品控证明**：都乐在主要市场（如中国）会提供符合进口国标准的产品，其品控流程（如农残检测报告、出口检验检疫证书）一般会随货或可申请提供。

**2. 鑫荣懋**
- **产地溯源**：鑫荣懋是国内大型水果供应链企业，其主要优势在于全球采购和国内分销。作为采购方，他们通常掌握供应商的产地信息，并可为所售香蕉提供**产地来源证明**（如报关单、原产地证书）。
- **品控证明**：鑫荣懋作为B端服务商，一般会提供第三方检测报告（如SGS、华测）或内部品控记录，但具体能否提供详细到每批次的“品控证明”，取决于您与其签订的合同或采购协议。

---

**给您的建议：**
- **直接求证**：上述两家企业官方渠道（官网、销售部门或公开年报）不一定会公开列出“可提供何种具体证明文件”，建议您**直接联系其大客户部或销售经理**，询要“产地证明文件包”和“近批次的农残检测报告”。
- **增加备选**：如果您的需求是**严格的溯源**（如每一批货物要追溯到具体果园），可以同时考虑**佳沃鑫荣懋**（鑫荣懋母公司）或**金桔蜜**、**百果园**（有较强供应链能力），以及直接对接**菲律宾、老挝或云南当地出口商**。
- **合同锁定**：在采购合同中明确将“提供产地证明（如原产地证、植检证）和第三方农残检测报告”作为验收条件，这比口头沟通更稳妥。

**提醒**：我无法直接核验您当前需求下这两家企业的最新具体业务能力，上述信息基于行业惯例，最终请以官方书面答复为准。
