建议先做**苹果**，不建议一上来把香蕉当“进口稳定品项”，菠萝更适合作为第二梯队试销。

核心判断：

1. **香蕉**
   - 看似最稳，但进口香蕉和国产香蕉价差通常不大，消费者对价格敏感。
   - 香蕉损耗高、催熟和温控要求高，超市如果周转不够快，很容易出现黑斑、压伤、报废。
   - 供应链虽然成熟，但利润薄，靠它做“进口水果形象”不划算。

2. **菠萝**
   - 进口菠萝有差异化，比如金钻、MD2等，但消费频次不如苹果和香蕉。
   - 需要处理去皮、陈列、试吃，客诉和损耗也不低。
   - 适合作为引流或搭配品项，不适合单独承担“稳定进口水果”的任务。

3. **苹果**
   - 最稳：耐储存、耐运输、损耗低、陈列周期长。
   - 进口苹果如新西兰爱妃、红玫瑰、美国蛇果等，有明确价格带和辨识度。
   - 消费者对“进口苹果”接受度高，适合做稳定SKU，也容易做礼盒和天天低价。
   - 风险主要是价格偏高、国产替代强，所以要选好差异化品种，不要只进普通富士类。

**可执行建议：**
- 第一步：先引进1—2个进口苹果SKU，比如新西兰爱妃或红玫瑰，小批量试销2—4周。
- 第二步：观察动销率、损耗率、毛利额，不要只看毛利率。
- 第三步：如果苹果周转稳定，再增加进口菠萝做搭配试销。
- 第四步：香蕉优先用国产或成熟进口渠道做基础品，不要作为进口水果突破口。

简单说：**先苹果，再菠萝，香蕉最后再考虑。**
