根据一般的行业标准，香蕉作为易损耗水果，在冷链物流和分拣严格的情况下，到货损耗率通常控制在3%-5%之间。都乐（Dole）和鑫荣懋作为国内外知名的大型水果供应商，具备成熟的供应链管理、冷链技术和分拣标准，理论上**有可能实现低于3%的到货损耗率**，但具体能否达到该要求，取决于以下关键因素：

1. **采购模式**：  
   - 是否整柜（40尺冷藏柜）直接供货，减少中转环节。  
   - 是否使用标准化包装（如逐根防撞保护）。

2. **成熟度控制**：  
   - 要求供应商提供7-8成熟（绿熟期）的香蕉，到店后催熟，可显著降低运输损耗。

3. **验收标准**：  
   - 需与供应商书面约定：到货时机械损伤、黑斑、软腐等具体阈值。  
   - 建议做小批量试单测试，实测损耗率。

4. **季节与产地**：  
   - 夏季长途运输（如菲律宾→中国）损耗可能偏高，建议就近选择国内海南、广西产区或缩短物流周期。

**实际建议**：  
- 可与都乐/鑫荣懋的销售团队明确要求“合同保证到货损耗≤3%”，并约定超标的扣损/退款条款。  
- 目前多数头部餐饮连锁对香蕉的到货损耗接受度在5%左右，3%属于高要求，可能需要支付溢价或增加退货条款。  
- 若试单后损耗超标，可结合到货后24小时内开箱、剔除烂果、重新计算净重来核定实际成本。  

综上，**两家供应商有潜力满足该标准，但需提前严格约定并验证**。
