采购菠萝时判断熟度很关键，因为熟度不够会酸涩难卖，过熟则易腐烂损耗。这里有几个实用方法，适合水果店批量采购时快速筛选：

**1. 看外观颜色（最直观）**
- **青绿色**：生，未熟，酸味重，不宜采购。
- **黄中带绿（约70%-80%黄）**：半熟，适合运输和短期储存，采购后常温放1-2天可全熟，是**最理想的采购状态**。
- **全黄甚至橙黄**：完全熟，甜度高，但极不耐存放，若当天能卖完可少量进，否则损耗风险大。
- **按压果身**：若果皮有凹陷或软塌，说明过熟或内部发酵，不要买。

**2. 闻气味（判断成熟度核心）**
- 成熟的菠萝会散发浓郁、清甜的香气，尤其是**果柄端**。
- 闻不到香味说明未熟，有酸味或酒味（发酵味）说明已过熟变质，直接淘汰。

**3. 摸硬度（判断存储期）**
- 轻轻按压果身，**微软有弹性**的为佳，说明成熟适中。
- 按压坚硬且不回弹的，太生。
- 按压发软、有汁液渗出，基本已腐烂，不能采购。

**4. 掂重量（判断水分）**
- 同等大小，**手感越重**说明水分足、果肉紧密，品质好；过轻可能空心或干缩。

**5. 看果眼和底部（补充判断）**
- 成熟菠萝的果眼（果皮上的格子）会比较**凸起、饱满**。
- 底部切口处若呈**黄绿色且干爽**，新鲜度高；若发黑、湿润、有异味，则存放过久。

**采购建议（实操层面）**
- **批量进货**：主选**七八分熟**（外皮黄中带绿、微软）的菠萝，按一天约5%的损耗率计算，预留1-2天销售周期。
- **避免极端**：全青或全黄都别大量囤，前者容易卖不动，后者当天卖不完就全损耗。
- **到货处理**：采购时若发现少数全黄，可当天上架并标记“特价，当日售”，尽快消化。

简单说：**闻有香、按微弹、色七分黄、重量实**，就是好货。采购时宁可少买多补，也不要贪量囤货。
