超市和水果供应商的账期，行业内比较常见的区间是 **30～60天**，其中：

- **30天**：比较常见，尤其是中小超市、区域连锁，或者合作初期、供应商议价能力较强时。
- **45天**：不少连锁超市和水果供应商之间的折中方案，既缓解超市现金流，供应商也还能接受。
- **60天**：也常见，尤其是大型商超、连锁卖场对中小供应商，或者水果品类中耐储存、标准化程度高的单品。
- **90天**：多见于大型零售集团、强势渠道，水果供应商如果利润空间足够或想进渠道，也可能接受，但通常不是水果类的普遍账期。

**水果品类有特殊性**：生鲜损耗高、周转快、供应商资金压力大，所以实际账期往往比包装食品、日杂百货短。很多水果供应商更倾向 **7天、15天、30天** 结算，尤其是叶菜、浆果、热带水果等易损耗品类。如果是长期稳定供货、量大，30～45天比较常见；如果是新供应商或小供应商，15～30天更现实。

**谈判时可参考这几个判断：**
1. 超市规模越大、越强势，账期往往越长。
2. 水果越易损耗、越依赖快速周转，账期越短。
3. 供应商如果承担冷链、分拣、配送，账期通常要缩短。
4. 合作初期可以先短账期，比如15～30天，稳定后再谈延长。
5. 如果超市要求60天以上，供应商通常会把价格上浮或要求部分现结。

所以，如果是普通超市和水果供应商谈，**30～45天是比较常见且容易谈成的区间**；如果对方是大型商超，60天也常见，但水果供应商要特别注意自己的现金流和损耗成本。
