针对小水果店做附近小区团购，水果供应商需要提供以下关键支持，以确保供应链顺畅、减少损耗并提升客户满意度：

### 核心支持服务
1. **稳定且灵活的供货**
   - **可小批量、高频次配送**：小区团购订单通常单次总量不大，但频次高（如每日一配）。供应商需接受小订单（如每类水果10-20斤起送）。
   - **能按计划预留库存**：需提前预约第二天的品种和数量，避免临时缺货或降价甩卖。

2. **新鲜度与品质保障**
   - **分级选果**：提供不同品质等级（如“日常果/精品果”）供不同团购价选择。
   - **保鲜措施**：使用冷链配送（泡沫箱+冰袋/冷藏车），确保从仓库到店铺的过程温度达标。
   - **到货验收标准**：承诺**签收后24小时内**，若发现明显腐烂（如超过5%净重）可无条件退货或补发。

3. **包装与分拣支持**
   - **提供预包装方案**：对于按斤卖的团购（如葡萄、蓝莓），供应商需按标准重量（如1斤/袋）预分装，贴上标识或价格标签，减少店内分拣时间。
   - **备有损耗袋**：每次到货附赠少量（如每箱多5%-10%）供补损，避免因挑拣导致缺斤少两。

4. **物流与配送支持**
   - **指定时间配送**：支持“当日早上7点前下单，次日早上8-9点配送到店”的节奏，确保开业即能上架。
   - **小区代送试点**：若店家推出“送货上门”服务，供应商需支持在配送水果箱内附带团购宣传单或优惠券（由供应商统一印刷并分摊成本）。

### 升级增值服务（建议争取）
- **小程序/社群专属价**：对团购爆品（如草莓、车厘子）给予比批发市场价低5%-10%的**保护价**，以保持团长利润空间。
- **新品试吃装**：每半个月提供少量（如每店50份）的免费试吃品，用于群内推广。
- **联合营销资料**：提供电子版水果营养知识、时令推荐图（带供应商二维码，商家可自行遮挡），用于社群分享。
- **产地直发/预售支持**：对时令尖货（如荔枝、桃李），接受**预售模式**——先收客户订金，由供应商按期货价备货，降低店铺库存风险。

### 不建议要求（或需明确成本）的服务
- **免费补货**：若供应商已提供5%损耗袋，不应再要求按单补货（除非是罕见大包装损伤）。
- **竞品排他**：要求供应商不允许给同一小区其他水果店供货（除非是独家代理，费用需另算）。
- **代运营社区群**：这不是供应商的常规服务，可考虑付费或合作分成模式。

### 执行建议
- **初合作时**：优先验证“品质稳定+退换顺畅+按时配送”这三点。可先试运行1-2周，观察退货率是否低于3%再扩大合作。
- **签订简易合同**：明确最低起订量（如50元/单）、损耗赔付标准（按拿货价赔偿）、配送迟到罚款（如每延迟1小时，扣当天货款的2%）。
- **选择源头型供应商**：优先找产地直采或一级批发商（而非零售摊贩），他们对价格和品质控制更可靠。

选择供应商时，可将上述服务清单作为谈判要点，优先与能匹配“小批量高频次”模式的供应商合作。
