和水果供应商谈酒店早餐合作，重点要抓住 **稳定、品质、价格、风险** 四条线。可以按下面这些点去谈和写进合同。

**1. 先明确自己的需求**
- 每天或每周需要哪些水果、大概多少量、几点前送到。
- 早餐通常适合：苹果、香蕉、橙子、西瓜、哈密瓜、圣女果、火龙果、葡萄等，尽量选耐储存、易分切、损耗低的。
- 区分：整果供应、鲜切果盘供应，还是两者都要。鲜切对冷链和卫生要求更高。

**2. 品质标准要写清楚**
- 品种、产地、等级、单果规格，比如苹果直径、西瓜重量、香蕉成熟度。
- 成熟度很关键：太生口感差，太熟损耗大。最好约定“到货可立即食用或1天内可食用”。
- 验收标准：无腐烂、无严重磕碰、无虫害、无异味、无过度催熟。
- 允许的次品率，比如每批次不超过3%—5%，超出怎么补货或扣款。

**3. 价格和调价机制**
- 不要只谈一个固定价，水果价格波动大。可以约定：
  - 每周/每两周按市场价或批发市场均价调整；
  - 或者一个季度内固定价，超出一定幅度再调；
  - 或者按品种分别定价。
- 问清楚是否含税、含运费、含卸货。
- 临时加量、换品种怎么计价。

**4. 配送和应急能力**
- 配送频率：每天送、隔天送，还是每周几次。
- 到货时间：必须早于早餐备餐时间，比如早上6点前。
- 冷链要求：尤其是鲜切水果、浆果类。
- 缺货、迟到、质量不合格时的补货时限，比如2小时内补送。
- 是否有备用供应商或替代品种方案。

**5. 食品安全和资质**
- 营业执照、食品经营许可证、检验检疫证明。
- 鲜切水果供应商最好有冷链配送和加工资质。
- 农药残留检测报告、批次合格证明。
- 出现食品安全问题时的责任划分和赔偿条款。

**6. 结算和合作条款**
- 账期：月结、半月结还是现结。
- 对账方式：按实际验收数量结算，还是按订单结算。
- 退货、换货、扣款规则。
- 合同期限、试用期、终止条件。
- 违约处理：长期缺货、质量持续不达标、擅自涨价等。

**7. 谈判时可以直接问的问题**
- 你们每天最大供应量是多少？
- 如果临时加量，多久能送到？
- 水果不达标，怎么补？费用谁承担？
- 价格多久调一次？依据是什么？
- 能不能先试供两周？
- 鲜切水果的加工和冷链怎么做？
- 出现食品安全问题，怎么赔偿？

**8. 建议先小范围试供**
先签短期试供协议，比如2—4周，重点看：
- 到货准时率；
- 品质稳定率；
- 损耗率；
- 补货响应速度；
- 实际结算是否透明。

试供没问题再签长期合同，这样风险最小。核心一句话：**把“稳定供应”拆成可验收的时间、数量、品质、补货和赔偿条款，不要只停留在口头承诺。**
