第一次找水果供货商试单，建议分三步走，降低风险的同时验证供应能力：

**1. 小批量、多品种试单**
- 每种水果先订1-2箱（如香蕉1箱、苹果2箱、橙子2箱），避免一次压货。
- 优先选本地或周边产地直供的供货商，减少长途损耗。
- 注意：香蕉选“七八成熟”的，到店后自然催熟，延长售卖期；苹果、橙子选口感稳定、耐储存的品种（如红富士、脐橙）。

**2. 到货后快速检查核心指标**
- **外观**：随机开箱检查是否有腐烂、虫眼、碰伤（尤其水果堆叠处）。
- **重量**：带箱称重，减去包装箱重量（要求供货商标注净重），防止“箱底灌水或夹层垫纸”。
- **口感**：每个品种尝1-2个，确认甜度、酸度、水分是否达标，对比同行同价位产品。
- **耐放性**：常温放置24小时，观察变色、变软速度（香蕉可能2天开始变黑，酸橙易失水）。

**3. 约定试单期规则**
- 明确“试单期1-2周，可调整品种或退货（单独包装、未售出部分）”。
- 要求供货商提供“批次质检报告”（如无公害或者产地检疫证明），尤其是进口水果需索要报关单。
- 付款方式：首次尽量“到货后2天结清”，或押少量尾款，避免质量问题后追讨困难。

**风险提示**：
- 警惕“全品低价”的供货商——通常品质不稳定或货源不透明。
- 水果批发市场可先观察档口周转率（摊前人多、货走得快的一般质量更可控）。
- 如试单后损耗超10%（正常建议5%以内），直接更换供货商，没必要修复合作。

如果需要周边市场或具体品种的供应商查询渠道，可以进一步说明城市。
