选规格更划算的核心原则是：**按“可食用部分单价”对比，而不是按斤单价**。因为水果去皮去核后损耗差别很大。

以下是针对苹果、橙子、菠萝的具体建议和计算方法：

1.  **苹果**：选**中小果**更划算。
    -   **原因**：苹果皮薄、核小，果皮和果核的损耗率很低（约10%）。大果和小果的吃用部分比例几乎一样，但大果单价通常更高。
    -   **操作**：直接比较每斤单价，买最便宜的那一档（只要不烂不蔫）。如果要切拼盘，小果还更方便切块，不用切半浪费。

2.  **橙子**：选**大果**更划算。
    -   **原因**：橙子皮厚，整颗水果的不可食部分（皮、白络、籽）占比高。同等重量下，大果的表面积相对更小，意味着果皮占比更低，能吃到的果肉更多。
    -   **操作**：如果大果、中果单价相同或差价很小（比如每斤差1元以内），优先选大果。如果大果贵很多，需计算损耗。例如：小果皮厚约4mm，大果皮厚约3mm，每斤大果能多吃50-80克果肉。

3.  **菠萝**：权衡**净果肉**价格。
    -   **原因**：菠萝削皮后损耗极大（通常削掉40%-50%的重量，包括外皮、硬芯和果眼）。整果单价看起来便宜，但净果肉单价可能远高于直接买去皮菠萝。
    -   **操作**：
        -   如果餐厅有场地和人力自己削，**买整果**最划算。计算时按“整果单价 ÷ 0.55”（假设可食率55%）换算成净肉价，再和去皮菠萝单价比较。
        -   如果没时间/怕麻烦，直接买**去皮去芯的菠萝肉**。别买那种只削皮但还留着芯的“半成品”，芯不能用在拼盘里，那一部分也是浪费。

**最终实用判断方法（无需精确计算）：**

-   **苹果**：按斤买最便宜的。
-   **橙子**：在单价接近的前提下，买个头最大的。
-   **菠萝**：如果能买到**泰国小菠萝**（已去皮切好），且价格不超过普通菠萝净肉价的2倍，那它最划算（甜度高、无硬芯、损耗为零）。

另外，拼盘里**苹果容易氧化变黄**，买回来切片前记得泡淡盐水。这一点虽然不影响规格，但会影响拼盘卖相和浪费数量。
