针对批发商给小店供货，香蕉和菠萝的分级报价建议采用**“品质等级 + 规格标准 + 价格对照”**的清晰结构。这样双方容易理解、减少纠纷。以下是具体建议：

### 一、香蕉的分级报价方法

香蕉通常依据**成熟度、果指大小、外观完整性**分级，建议至少分3级：

| 等级名称 | 品质描述 | 适合场景 | 建议价格操作 |
| :--- | :--- | :--- | :--- |
| **特级/精品** | 果指饱满，长度≥20cm，无机械伤，无黑斑，成熟度7-8成 | 高端水果店、超市礼品区 | 最高价，包装可带品牌标识 |
| **一级/通货** | 果指长度15-20cm，轻微擦伤或少量斑点，成熟度6-8成 | 普通水果店、社区小店 | 中等市场价，按整件报价 |
| **二级/特价** | 短果、断裂果、有大量斑点或即将过熟，需2-3天内售完 | 奶茶店、食堂、低价促销 | 最低价，可同时注明“需快速周转” |

**额外建议**：按“件”报价时，注明每件净重（如20斤/件），并标明每件含多少指或粗估根数，避免“大小包”争议。

### 二、菠萝的分级报价方法

菠萝的重点是**果重、成熟度、冠芽（叶子）形态、有无损伤**。建议分为：

| 等级名称 | 品质描述 | 适合场景 | 建议价格操作 |
| :--- | :--- | :--- | :--- |
| **精品级** | 单果重≥2.5斤，果形端正、金黄均匀，冠芽完整翠绿，无碰伤 | 礼品销售、高端超市 | 按“个”报价，价格最高，注明“标重X斤以上” |
| **商超级** | 单果重1.8-2.5斤，微青转黄，冠芽无腐烂，可轻微瑕疵 | 普通水果店、小型超市 | 按“个”或“斤”报价，注明规格范围 |
| **特价/处理级** | 果型不整、冠芽受损、过青或过熟、轻微霉变 | 餐饮切块、果汁店 | 直接按“斤”报价，大幅折扣，建议“当批次清货” |

**区分要点**：菠萝用“个”报价时，必须标明单果重量范围（如“每个1.8-2.3斤”），否则容易因大小不一致产生纠纷。

### 三、通用的报价清晰化技巧

1. **用“对标”表述**：例如“这一批香蕉品质和上周的A级一样，价格比上周降0.5元/斤”。
2. **附带照片或标准样图**：在微信、报价单内发一张等级对比图，用红色圆圈标出瑕疵点。
3. **区分“到手价”与“批发价”**：注明是否包含运费、包装箱费（例如“含纸箱价”“不含筐费”）。
4. **建立尺寸或色度参考**：比如“香蕉成熟度：用手指轻捏，手感像耳垂一样软即为全熟级”“菠萝成熟度：底部小眼有香味且中间变黄为佳”。
5. **加一句“售后规则”**：例如“到货24小时内发现腐烂/虫蛀可全赔，超出范围不承担”。

### 四、模板参考（直接复制使用）

**香蕉报价表（20斤/件，含箱）**
- 精品级：85元/件（果指≥20cm，无斑无伤）
- 通货级：65元/件（果指15-20cm，允许少量斑点）
- 特价级：45元/件（短果/断果，需2天内售罄）

**菠萝报价表（按个，带叶）**
- 精品级：6元/个（单果2.5-3斤，果形圆正，叶绿）
- 商超级：4元/个（单果1.8-2.5斤，微青，叶稍黄）
- 特价级：2元/个（果小或微损，供切块）

**统一备注**：以上均为自提价，如需配送请加收1元/件运费。到货后2小时内验货，坏果包赔。

这种分级方法清晰，小店老板一眼就知道自己能进哪个等级、成本多少，也利于你根据库存灵活调整价格。
