# 小水果店做小区团购，对供应商的核心要求

做小区团购和传统水果店进货最大的区别是：**你是以销定采、按团单量拿货，对时效、起订量、售后、损耗分担更敏感**。找供应商时重点看这几项：

## 一、基础供货能力

| 需求 | 具体要求 |
|---|---|
| **起订量低** | 能接受几十斤到一两百斤的小批量，不要动辄要求整车/整箱几十件起 |
| **品类齐全** | 能一站配齐当季主力（苹果、香蕉、柑橘、西瓜等），减少对接多家 |
| **稳定供应** | 同一品种能连续几周供货，不要这周有下周没 |
| **分级明确** | 能提供不同规格/等级（如大果/中果），方便你设计团购套餐 |

## 二、时效与配送（团购最关键）

- **按团单日集中配送**：你能提前1-2天报量，供应商按约定时间送到店或指定提货点
- **配送频率灵活**：支持每周2-3次甚至按需配送，而不是固定一周一次
- **到货时间可控**：最好能在你开团截单后次日或当日到货，保证新鲜度
- **支持代发/直送小区**（可选）：部分供应商能直接送到小区自提点，省你中转

## 三、价格与结算

- **团购价/批量价**：比零售进货价更低，且有明确的价格表
- **价格保护**：约定短期内不随意涨价，或涨价提前通知
- **结算灵活**：支持现结、周结，甚至少量账期
- **报价含税含运费**：避免后期加价

## 四、售后与损耗分担（最容易扯皮的地方）

- **坏果包赔**：明确赔付标准（如坏果超5%怎么赔、按比例还是补货）
- **损耗承担**：运输途中损耗由谁负责，要写清楚
- **退换货机制**：质量问题能退能换，响应要快
- **缺货处理**：临时缺货如何补位、是否提前告知

## 五、增值支持（加分项）

- **提供团购素材**：产品图、文案、卖点，方便你发群
- **支持试吃/样品**：让你先验货再开团
- **季节性选品建议**：告诉你什么好卖、什么利润高
- **包装支持**：按份分装、贴标等（如果做预包装团购）

## 实操建议

1. **先小批量试合作**：别一上来签长期，先跑2-3个团看时效和品质
2. **把关键条款写进约定**：起订量、配送时间、坏果赔付、涨价通知期
3. **至少备2家供应商**：主力+备用，防止断供
4. **算清综合成本**：不只看进货价，要把运费、损耗、售后成本一起算

**一句话总结**：小水果店做团购，供应商要能"小批量、高频次、按单配送、坏果包赔、价格稳定"，这五点比单纯便宜更重要。
