针对进口菠萝旺季缺货问题，以下是可执行的应对建议及都乐、洪九果品的行业常规做法（具体方案需以品牌方最新公告为准）：

**一、应急方案建议：**

1. **提前锁定货源**  
   - 联系进口商签订**远期合同**，约定旺季优先供货权（如都乐常与菲律宾、哥斯达黎加产区锁定订单）。
   - 关注替代产区：如菲律宾产量不足时，转向哥斯达黎加、厄瓜多尔或泰国菠萝。

2. **多品种替代**  
   - 推荐国产菠萝品种（如**徐闻菠萝、海南香水菠萝**）作为短期替代，价格更低且供应稳定。
   - 采购速冻菠萝或罐头产品（都乐有速冻菠萝块、洪九可能推出预切果品）。

3. **零售端调整**  
   - 缩小包装规格（如从整果改为切块包装），减少新鲜度压力。
   - 设置菠萝**预售/预约制**，提前统计需求减少库存缺货。

**二、都乐（Dole）应急方案参考：**
- **供应链策略**：与菲律宾、哥斯达黎加、泰国等多国基地合作，旺季前3-6个月启动计划性种植，错峰采收。
- **冷冻产品线**：推出**冷冻菠萝果肉/切块**，保质期长达12-18个月，可应对鲜果断档。
- **渠道分配**：优先供应高端商超（如山姆、盒马），对批发客户限制出货量。

**三、洪九果品应急方案参考：**
- **多源采购**：在泰国、越南、菲律宾等东盟国家布局产地仓，旺季时从不同产区调配（如泰国金钻菠萝可覆盖部分缺口）。
- **深加工缓冲**：联合国内加工厂生产**菠萝汁、果干**，减少鲜果依赖。
- **B端定向供给**：通过“洪九鲜果”APP对合作果商提供限量配额，避免渠道哄抢。

**行动建议：**
- 立即联系都乐/洪九的区域销售经理，确认其**旺季保供合同**条款（通常需提前90天签订）。
- 同步联系国产菠萝主产区（如广东徐闻、海南万宁）的合作社，签订**应急订单**。
- 监测到库数据：若连续2周缺货率超过20%，建议启动替代品方案。

如需核实具体方案细节，请直接致电都乐中国客服（400-820-6889）或洪九渠道负责人。
