针对便利店售卖菠萝切块，**三个要素都必须关注，但优先级和侧重点不同**。核心逻辑是：**保质期和包装决定了“能不能卖”，配送频次决定了“卖得好不好、亏不亏”。**

以下是具体建议：

**1. 保质期（第一优先级，关乎食安与损耗）**
- **建议期限**：鲜切菠萝在冷藏（0-4℃）条件下，**最佳售卖期为1天（24小时）**，最长不建议超过2天（48小时）。超过48小时，口感（发酸、出水）和微生物风险会急剧上升。
- **执行标准**：必须实行**“日清”或“半日清”**（早晚各检查一次），到点立即下架报废，不能打折续售。
- **标签要求**：明确标注生产时间（几点切好的）和废弃时间（几点必须扔），不能只写“保质期2天”。

**2. 包装（第二优先级，决定卖相与货架期）**
- **必须用气调包装（MAP）或真空贴体包装**：普通敞口盒装菠萝在冷柜中也会快速氧化变色（褐变）和流失水分，不足4小时就发干。
- **选择带防雾膜的包装**：便利店冷柜温度波动大，普通膜会起雾，影响卖相。建议用PET或PP材质餐盒+防雾保鲜膜。
- **规格**：建议小份装（150g-250g），单人即食，避免大盒吃不完浪费。

**3. 配送频次（第三优先级，但决定成本与“鲜度”体验）**
- **如果自己门店有切配能力**：建议**每天配2次**（早晚各一次，比如上午10点切好，下午4点补一次）。这样能保证下午高峰期永远有“刚切好”的货，商品周转快，损耗最低。
- **如果由中央厨房/供应商配送**：必须要求**每日配送1次**，且配送全程冷链（0-4℃）。因为有包装+保质期2天，隔日配会导致门店卖的都是“前一天”的货，口感远差于隔壁水果店现切的，复购率会下降。
- **不建议一周配送3次或更少**，因为菠萝切开后风味衰减极快，您会面临大量报损。

**综合建议（可执行方案）：**
- **操作层面**：实行**“今日切、今日售”**，最好当天清完。如果怕卖不完，可以只切半颗试水，观察动销。
- **库存策略**：宁可少配多补，也不多配打折。一旦卖不出去，直接报损，不要想着“第二天还能卖”。
- **季节提醒**：夏季（5-9月）菠萝易酸败，建议**一天配2次且当日清**；冬季（11-2月）可以每天配1次，但贴标必须区分批次。

**一句话结论**：先定**24小时报废红线**，用**防雾气调包装**锁鲜，再保证**每日至少1次冷链配送**（夏季2次）。三者缺一不可，但保质期是“生死线”，配送频次是“体验线”。
