要判断水果供应商是否靠谱，建议从以下几个关键点入手：

1. **实地考察与资质检查**  
   - 亲自到供应商的仓库或果园看货，观察香蕉的成熟度（是否均匀、有无过度催熟或腐烂）、菠萝的新鲜度（表皮干爽、无霉斑、头顶叶片翠绿）。  
   - 要求提供营业执照、食品经营许可证、产地证明或检验检疫证明（尤其进口水果需有海关单据）。

2. **试单测试与沟通效率**  
   - 首次合作直接下小批量订单（比如香蕉1-2箱、菠萝3-5箱），测试以下方面：  
     - **到货质量**：是否有磕碰、霉变，香蕉乙烯催熟是否均匀，菠萝按下去是否过硬或过软。  
     - **到货时效**：能否按承诺时间准时送达（尤其夏季高温需要冷链运输）。  
   - 观察对方是否能提供清晰的联系人和售后反馈渠道，遇到问题（如坏果）是否及时处理。

3. **长期稳定性验证**  
   - **价格波动范围**：要求对方提供3个月内的报价单，看香蕉和菠萝进货价是否随产地天气、季节合理浮动（如果长期低于市场均价，需警惕质量或掺假）。  
   - **供货稳定性**：问清楚“如果某天突然需求大增，能否迅速补货？”以及“产量低落期（如冬季菠萝少时）是否有替代方案”。  
   - **随货单据**：要求每次送货附带送货单（品名、数量、等级、单价），最好有清晰日期编号，方便你后续对账和追溯批次问题。

4. **口碑与同行信息**  
   - 询问本地其他水果店主、批发市场相熟摊主他们长期合作的供应商，特别关注他们是否遇到过“换货困难、到货延迟、货不对板”的情况。  
   - 在水果行业B2B平台（如果品行业协会、全国农产品批发市场信息网）搜索该供应商是否有负面投诉（比如因腐烂率高被多个买家投诉）。

**可执行建议**：  
- **短期测试**：第1-2周每周下2次小单，专注测试香蕉和菠萝的**滞销率**（如20-25℃室温下香蕉5天内变黑、菠萝3天后切口变色，说明成熟度过老或运输受损）。  
- **合同条款**：建立合作后，书面约定“到货坏果比例超过3%，供方需在24小时内按原价退换；连续3次到货延迟超过4小时，可单方解除合同”。  
- **备选方案**：同时维护2-3个供方名单，即使主供方出问题，也能立刻从备选补货（尤其菠萝季节性差，需保证不同产区的供应源）。  

避免仅凭“熟人介绍”或“低价”直接长期签约，用数据说话。如果有过一次成功试单且后续3次补货均无问题，基本可以判定靠谱。
