关于都乐（Dole）和洪九果品是否提供“香蕉小包装”且为“环保包装”，目前**没有公开的、可核验的官方统一信息**。因为这类包装往往取决于**具体销售渠道（如商超、电商平台、企业团购）和批次**。

不过，我可以给你一些**可执行、可判断的建议**：

1.  **直接查询官方渠道**：
    *   **都乐**：你可以访问其官网（dole.com.cn）或官方微信公众号/微博，在“产品”或“企业服务”板块查找。同时，可以致电其中国大陆客服，询问“针对零售终端的小包装香蕉”以及“是否使用可降解/再生材料”的具体选项。
    *   **洪九果品**：更倾向于B端（商超、批发市场）供应。建议你直接联系你的**区域销售经理**或在其官方APP/小程序中查看供货信息，明确询问“小规格包装”和“包材环保认证”问题。

2.  **电话/邮件直接询问**：这是最可靠的方式。在官网找到客服邮箱或电话，询问：
    *   “我们便利店需要约500g-1kg的香蕉小包装。”
    *   “请问目前您们供应的包装材料是？是否有**可降解塑料**（如PBAT/PLA）、**纸质（FSC认证）**、或**可回收单一材质**（如PE/PP膜）？”

3.  **向渠道商确认**：如果你是从**批发市场、地方经销商**拿货，他们套餐里的包装可能并非工厂原装。务必让经销商提供包装的**供应商材质证明**。

**关于“环保”的通用判断标准**（供你后续辨别）：
*   是否标注了**“可降解”标识**（如中国环境标志、BPI、OK Compost）。
*   是否使用**纸基材料**（通常更易回收）。
*   是否为**单一材质塑料**（如纯PE袋，相较复合膜更易回收）。

**结论**：**大概率是有**，但需要你主动联系销售方确认具体规格和材料。如果对方含糊其辞，你可以坚持要求“提供包装材质检测报告”以确保环保承诺属实。

如果需要，我可以帮你起草一封询问邮件或话术。
