好的，作为一家新开的夫妻店，第一次对接水果供货商，尤其是香蕉、苹果、橙子这类走量快但损耗也大的常见货，试单是降低风险、摸清对方底牌的关键一步。以下是针对性的试单建议：

### 核心原则：小额、高频、抓核心

不要贪多求全，先从**1-2个最核心、最稳定的品种**开始试，把流程跑顺了再慢慢加。

### 具体步骤与操作建议

#### 1. 选品策略：先做减法，再试加法
-   **首选试单品种**：**苹果**或**橙子**（耐储存、规格统一、市场接受度高、价格相对平稳）。
-   **暂缓试单品种**：**香蕉**（极难保存、催熟难度大、货架期极短，新手夫妻店极易亏本，建议等店铺客流稳定、有二次补货能力后再尝试）。
-   **试单数量**：每种货 **1-2箱**（约30-50斤），不要超过3箱。苹果和橙子按箱拿，香蕉建议**先不拿**，或用零售价少量采购竞争对手的来试销。

#### 2. 实地考察与验货（这一步比价格更重要）
-   **去现场**：亲自去批发市场或供应商仓库看货。不要只看样品箱，要求**拆开垫底几层看是否存在“面儿光底儿烂”**。
-   **验标准**：
    -   **苹果**：看果径大小是否一致（比如80#果）、果面有无黑点、碰伤；掰开闻香，脆度是否够。
    -   **橙子**：观察果皮色泽、手感（有弹性为佳，过软可能不新鲜）、果蒂是否干枯。
    -   **香蕉**：**强烈建议先放弃自采**。如果非要试，只拿**七成熟、全青色的**（避免拿黄熟的，因为成熟度几乎不可控），并要求供应商包售后（如烂了包赔）。
-   **索要样品**：如果可以，花钱买1-2个样品开摊时切开尝试，或者直接让供应商开箱给你看内部。

#### 3. 价格谈判与结算规则
-   **明确报价方式**：问清楚是“上车价”（含装车费）还是“到店价”，是否含运费、含税（小摊一般无税）。
-   **谈好付款周期**：第一次试单，坚持**现结（一手交钱一手交货）**，这是夫妻店的底气。不要签长期合同或压款。
-   **明确退换货规则**：问清楚“如果到货后发现烂果过多（比如超过3%）或规格不符，能不能退换？退换流程怎么走？”（大部分批发商不接受退换，但必须问清处理方式）。

#### 4. 试销期关键动作（真正测试供应商的时刻）
-   **记录损耗**：每次进货后，记录**卖了多少、烂了多少、剩了多少**。例如：第一箱苹果卖3天，烂了5斤（损耗率10%），这就是真实数据。
-   **观察客诉**：客户反馈（“这苹果酸”“橙子不甜”）。如果是供应商批次问题，记下来下次避免。
-   **对比价格波动**：同一品种、同一规格，多问1-2家同行价，看你的供应商价格是否长期偏高或偏低。
-   **催熟测试（针对香蕉）**：如果试了香蕉，记录它到店后**几天变黄、几天开始烂**。理想的香蕉从青到黄约3-4天，变黄后2天内售罄。

### 特别提醒：香蕉的“雷区”

-   **不要试图自己做催熟**：夫妻店没有专业冷库、乙烯利设备，自己放暖气旁容易导致“外黄内硬、口感生涩、表皮发黑”。
-   **推荐方案**：如果客流大，可以找**专门做香蕉批发的档口**，每次只拿**半箱**（约15斤全青的），并且要求对方按你的预期销售时间“预催熟”。对方若不提供，坚决不拿。

### 最优行动路线图（供参考）

1.  **第一周**：去市场找**2-3家苹果/橙子批发商**，各询价、看货、要名片。不留联系电话，避免被频繁骚扰。
2.  **第二周**：选一家态度好、给看箱底、报价合理的，下**1箱苹果（80#果）**。现金交易，明确说“第一次合作，试销”。
3.  **第三周**：试销结果后，如果苹果卖得好、损耗低、客诉少，**主动找供应商复购**，并表示“准备长期合作”。同时可以问对方试试橙子。
4.  **一个月后**：如果2个品种都已跑通，再考虑少量试香蕉（比如只拿半箱，并提前声明“亏欠的话会考虑换家”）。

**总结：先试苹果橙子，试数量、试验货、试售后；香蕉宁可不卖，也不要被高价或送货上门诱惑。夫妻店的核心是控损耗，第一次试单亏点钱不可怕，可怕的是被烂果拖垮现金流。**
