判断香蕉批发档口的一手货源是否稳定，不能只听口头承诺，需要从**可验证的证据**、**业务模式**和**风险预案**三个维度来核实。以下是具体可执行的操作建议：

**一、 核实“一手”身份与产地绑定（可验证证据）**

1.  **看产地证明与物流单据**：
    -   要求对方提供**当批**香蕉的《植物检疫证书》和《货运单》。如果是广西、云南、海南等产区直发，单据上的起运地应与声称的产地一致。
    -   注意：一手货源通常有明确的“产地代办”或“基地合作”关系，可要求对方提供**基地的种植照片或视频**（需是近期实拍，且能对上当前季节的果型）。

2.  **核对车辆与到货时效**：
    -   询问对方**从产地到你的城市需要几天**。如果是云南河口到广东，通常需要2-3天，如果对方说“今天下单明天到”，且价格极低，大概率是从当地批发市场炒货（即二手贩子）。
    -   要求对方提供**冷链车的车牌号**（或者常合作的物流公司名称），并现场查证该车近期是否真的往返于产地线。

**二、 测试供货稳定性（业务模式测试）**

3.  **小批量试单+压力测试**：
    -   第一次进货，只拿**1-2柜**（或几吨）试单。成交后，**隔3-5天**再次询价并要求补货。
    -   重点观察：对方在**行情上涨（涨价）**时是否还愿意按约定价格供货，以及**下雨天/台风天**（产地采摘困难）时是否还能发货。如果天气恶劣时他拿不出货，说明他其实是市场拿货，不是基地直供。

4.  **询问“锁货”政策**：
    -   直接问：“如果我预付定金锁定下一批货，你那边能锁多久？” 
    -   真正的基地货源敢承诺“锁货3-7天”，因为他们有明确的采摘计划表；而炒货商通常不敢接锁货订单，因为他们自己也不敢囤货。

**三、 规避常见陷阱（风险预案）**

5.  **警惕“包赔”承诺**：
    -   香蕉在运输中会有自然熟度变化和损耗（一般死亡率2%-5%）。如果对方承诺“全包果损”，大概率是拼货或者有问题货，因为正常基地货源不会做这种亏本承诺。
    -   建议约定一个合理损耗率（如 ≤3%），超出部分算对方的。

6.  **查看档口代发能力**：
    -   观察他的档口是否**同时有多排冷柜**、**有装卸工人常驻**，还是只有一张桌子+一部手机。后者通常只是信息中介，遇到货量波动就会断供。

**四、 电话核实技巧**

你可以直接电话给对方，问三个具体问题来快速过滤：

-   **“你那边现在到货的是哪天的车？”** （回答模糊如“刚到的”大概率是假的，真正的一手货主会说“前天从X地发出的，今天凌晨到”）
-   **“如果我要10吨，你能保证这周内分批到吗？具体时间表是什么？”** （稳定货源能给出具体到天的排期，不稳定货源会说“看情况”）
-   **“你现在手上有几个产区的货在发？”** （如果回答“只做单一基地”，稳定性反而更高；如果回答“哪便宜收哪儿的”，说明是市场炒货，不推荐长期合作）

**核心判断标准**：**稳定供货 ≠ 便宜**。价格比市场均价低10%以上的“一手货源”，要么是短斤缺两，要么是拿次充好。真正的稳定货源，价格通常与市场持平或略低，但**账期灵活、发货准时、果规统一**。建议你优先与能提供**固定冷库位置+长期车牌号**的供货商合作，而不是依赖临时交易的微信对接。
