超市采购水果时，供应商通常需要提供以下几类检测报告或进货证明，具体取决于超市的验收要求、水果品类和监管规定：

1. **营业执照和食品经营许可证**
   - 证明供应商具备合法经营资质。
   - 如果是农产品生产者直销，可能提供种植户身份证明或合作社证明。

2. **产地证明或供货证明**
   - 证明水果来源合法、可追溯。
   - 常见形式包括产地证明、供货凭证、购销合同、发货单等。

3. **农产品质量安全检测报告**
   - 一般包括农药残留检测报告。
   - 检测项目常涉及有机磷、氨基甲酸酯、拟除虫菊酯等农药残留。
   - 报告可以是供应商自检报告，也可以是第三方检测机构出具的报告。

4. **承诺达标合格证**
   - 根据《农产品质量安全法》，部分农产品需附带承诺达标合格证。
   - 这是生产者或收购者对其农产品质量安全作出的承诺证明。

5. **检疫证明**
   - 对于部分水果，尤其是进口水果或跨区域调运水果，可能需要植物检疫证书。
   - 进口水果还需提供海关报关单、入境货物检验检疫证明等。

6. **进口水果相关证明**
   - 海关进口货物报关单。
   - 入境货物检验检疫证明。
   - 中文标签或标签备案材料。
   - 原产地证明。

7. **批次检测报告或抽检记录**
   - 超市通常会要求按批次提供检测报告，或保留超市自身的抽检记录。
   - 如果供应商无法提供，超市可能自行送检或拒绝收货。

8. **其他证明**
   - 绿色食品、有机食品、地理标志产品等认证证书，如果水果宣称相应资质。
   - 包装、运输、储存环节的卫生相关证明，视超市要求而定。

实际操作中，超市一般会建立供应商档案，要求供应商首次供货时提供资质文件，后续按批次提供检测报告或合格证。不同超市、不同水果品类要求会有差异，建议直接向目标超市的采购或品控部门确认其具体验收清单。
