关于商超采购菠萝后，是卖整果还是切好的，建议取决于门店的定位、客流量和损耗控制能力。以下是具体分析：

### 建议优先选择：**切好的菠萝（去皮切片/切块）**
- **理由**：  
  1. **减少顾客决策成本**：削皮、切块对普通顾客来说费时费力，且容易处理不当（如残留“黑眼”）。切好的即食菠萝能直接满足“买来就吃”的需求，尤其适合年轻上班族、小家庭或即时消费场景。  
  2. **降低损耗**：整果菠萝存放时间短，表皮易受损，一旦出现磕碰或部分腐烂，整果需丢弃。切好后可提前剔除不新鲜部分，散装售卖提高单品利用率。  
  3. **提升客单价**：切好的菠萝可按盒/袋规格标价（如8元一盒），对比整果按斤买（如10元/个），顾客更易接受溢价，且方便按需购入小份。  
  4. **卫生与形象**：透明包装的切好菠萝给人整洁、新鲜的保质感，尤其适合生鲜区或水果专柜。

### 如果门店具备以下条件，可保留部分整果：  
- **客群以中老年或家庭为主**：他们可能习惯自己切，且对“整果现挑”的信任度更高（如担心切片用的是问题水果）。  
- **现切区有专人操作**：可现场为顾客削皮、去芯，并展示“现切现卖”，增强体验感和新鲜度。  
- **储运能力强的冷柜**：切好的菠萝（尤其是去皮后）需在低温下快速销售，否则容易氧化变味。若冷柜温度不稳定或容量不足，优先卖整果。

### 具体落地建议：
1. **主推切好装盒**（如200-300g盒装），并摆放于冷柜显眼位置，标明“当天现切”。  
2. **整果保留少量**（如日常配10个以内），放在切好的旁边，满足“想自己挑”的顾客需求。  
3. **同步推混合切块**：将菠萝与芒果、火龙果等组合成水果拼盘，提高单价和附加值。  
4. **包装设计**：用透明半开盖盒，方便查看果肉饱满度，并附赠叉子或餐巾纸，增强购买冲动。

### 风险提示：  
- **切好的菠萝务必在4小时内售完**（或贴“当日售完”标签），超过时间需降价促销，否则易发酸或出水。  
- **整果损耗控制**：单个菠萝重量差异大（如1-2kg），若频繁被顾客翻动、捏压导致受伤，反而加重损耗——这恰好是切好的优势之一。

**结论**：除非你的门店是社区老字号的“现切现卖”模式，否则优先推荐卖切好的菠萝。初期可各占50%，根据一周销售数据调整比例，逐步优化。
