关于洪九果品与鑫荣懋的香蕉质量对比及到货损耗问题，由于缺乏您指定市场中实时、具体的批次数据，我无法提供准确的损耗率数字。但可以基于行业普遍情况和两家公司公开定位给出参考建议：

1. **质量与渠道差异**：  
   - **洪九果品**以东南亚（如越南、柬埔寨）进口香蕉为主，通常注重终端分销，但最近（2023-2024年）有媒体报道其存在债务压力及部分货物质量争议（如个别投诉称到货后成熟度不均）。  
   - **鑫荣懋**是国内头部水果供应链企业，香蕉多来自菲律宾、厄瓜多尔等产地，其品控流程更标准，有较完善的冷链基础设施，通常到货损耗控制更稳定。

2. **损耗关键因素**：  
   - 香蕉损耗与**成熟度控制**（采收时70%-75%硬度）、**冷链环节**（全程7℃-10℃为宜）、**仓储周转时间**直接相关。鑫荣懋在冷链和品控标准化上通常优于中小型分销商；而洪九若依赖外部港口分销，到货时效受行情影响较大时损耗风险可能更高。但**具体损耗率（如5%还是8%）取决于批发市场及单批次定价**，建议您直接索要单批次实验数据。

3. **可靠判断方式**：  
   - **做小批量试单**：分别采购各50-100箱，全程记录到货后的开花率、烂果率。  
   - **查看产地证明**：优先选择带官方检疫单、储藏温度记录的批次。  
   - **询问提供QC报告**：用糖度计抽测甜度（一般18度以上为佳），并检查蕉柄是否发黑。

若您在大批发市场（如广州江南市场、上海辉展），建议现场随机开箱抽验，而非依赖品牌口碑；如果线上采购，可要求供应商提供上个月同一产地的损耗统计表（含拒收记录）。若需要，我可以提供开箱验收的详细检查单。
