主要需要关注以下几个关键点，按优先级排序：

1. **食品安全与保质期（最高优先级）：**  
   - 菠萝切块属于**即食生鲜**，一旦切开，表面暴露在空气中易滋生细菌、氧化变味。  
   - 必须明确标注**切块日期**和**保质期限**（通常建议不超过24小时，冷藏条件下）。  
   - 需要定期检查并**下架过期或变色、渗水、有酸败味的切块**。

2. **包装质量：**  
   - 使用**食品级、密封性好**的包装（如带盖塑料盒或保鲜膜密封）。  
   - 包装内可考虑**沥水托盘**，防止菠萝汁浸泡果肉，加速变质。  
   - 包装外要清晰打印**生产时间、保质期、储存条件**信息。

3. **配送频次（如果是连锁店或中央配送）：**  
   - 根据门店**日均销量**确定配送次数。通常建议**每日配送一次**（早晨到货），销量高的店铺可能需**早、晚两次**。  
   - 避免一次配送过多造成积压，宁可少量多次。  
   - 配送车辆需具备**冷藏功能（0-4℃）**。

**执行建议：**  
- 首重**保质期控制**：设立“当日内未售完即废弃”的严格标准。  
- 次重**包装合规**：选用透气性差的包装，减少与空气接触。  
- 配送频次根据**销售数据动态调整**，可先用7天试运营确定基准。  

**注意：** 务必向当地市场监管局确认散装即食水果的合规要求（如是否需要独立小包装、标签规范等）。
