超市水果到货后发现品相不好，售后流程建议在合同或采购单里分四段约定：验收、异议、处置、赔付。

**1. 验收环节**
- 到货后限定验收时限，比如“卸货后2小时内完成外观验收”，生鲜不宜拖太久。
- 明确验收标准：品种、规格、成熟度、单果重量、色泽、损伤率、腐烂率、异味、压伤、冻伤等。
- 约定抽样比例和判定方式，比如“按到货件数抽检10%，腐烂率超过3%即视为整批不合格”或“允许5%以内的轻微外观差异”。

**2. 异议提出**
- 约定发现品相不好后，超市应在多长时间内书面通知供应商，并保留照片、视频、过磅单、验收记录。
- 明确通知方式：邮件、微信群、书面函件，最好指定对接人和联系方式。
- 超过时限未提出异议的后果要写清，比如“视为验收合格”，避免事后扯皮。

**3. 处置方式**
常见可选：
- 拒收整批；
- 部分拒收，合格部分按原价结算，不合格部分退回；
- 降价接收，按品相差距扣减货款；
- 换货补发，供应商承担运费和损耗；
- 门店自行处理，但供应商按约定补偿。

建议写一个阶梯标准，例如：
- 轻微瑕疵、不影响销售：降价5%—10%接收；
- 明显瑕疵、影响陈列：降价20%—30%或换货；
- 腐烂、变质、食品安全风险：整批拒收，供应商承担运费。

**4. 赔付与结算**
- 明确退款、扣款、补货的时限，比如“确认异议后3个工作日内完成退款或补发”。
- 约定违约金或损耗补偿，比如“因品相问题导致拒收的，供应商承担往返运费，并按当批次货款的10%支付违约金”。
- 如果已经上架销售才发现问题，要约定召回、下架、消费者投诉处理的责任归属。
- 争议解决方式写清：协商、仲裁或诉讼，以及适用哪里的法院。

**实操建议**
- 不要只写“品相不好可退货”，太模糊。要写“什么算不好、谁判定、多久提、怎么赔”。
- 到货时先拍照、称重、留样，再卸货入仓，避免责任说不清。
- 对长期供应商，可以约定月度累计损耗率，超过部分从货款中扣除。
- 如果涉及食品安全，比如腐烂、霉变，应直接按食品安全法和合同中的严重违约条款处理，不要只走普通降价接收。
