选择学校食堂水果供应商时，需综合考虑**质量安全、价格稳定、供货及时性及合规性**。以下是针对香蕉、苹果、橙子等常见水果的具体建议：

### 1. **基本资质审核**
   - **营业执照**：确认供应商经营范围包含水果销售。
   - **食品经营许可证**：部分地方要求供应商具备此资质（尤其涉及分切加工时）。
   - **检疫证明**：要求提供每批水果的源头产地检疫报告（如产地证明、农残检测报告）。

### 2. **核心考察标准**
   - **新鲜度与成熟度控制**：
     - 香蕉：需供应商能控制7-8成熟发货（避免催熟剂过量或过生），优先选择能提供“异地催熟或控温运输”的供应商。
     - 苹果：要求供应商按不同品种提供冷库存放证明（确保无失水、冻伤问题）。
     - 橙子：需检查供应商是否提供“糖酸比检测或水分含量”辅助资料（避免干涩果）。
   - **价格稳定性**：
     - 要求供应商提供季度或月度锁价协议（避免因季节性价格波动影响预算）。
     - 对比至少3家供应商，关注“报价是否已包含运费、仓储费、税费”。

### 3. **服务能力验证**
   - **供应量保证**：要求供应商提供“日最大供应量”数据（如每日可稳定供应500斤以上香蕉）。
   - **紧急补货响应**：明确约定“常规补货需提前24小时下单，紧急情况（如会议加餐）4小时内送达”。
   - **原料记录与可追溯性**：要求供应商每批水果附带“产地、采收日期、包装日期、检测报告”的追溯码或清单。

### 4. **合作流程建议**
   - **试供货期**：先要求供应商提供1-2周高频次小批量试供（如每周3次，每次50斤），期间重点检测：
     - 腐烂率（香蕉≤5%，苹果≤3%，橙子≤5%）
     - 规格一致性（例如香蕉每串长度误差≤3cm）
   - **合同关键条款**：
     - 明确“腐烂果当场退回或按比例扣款”
     - 约定“农残超标”全额退换货并提供第三方赔偿机制
     - 设置“超时送达违约金”（如按货值1%/小时扣款）

### 5. **本地化与可持续性**
   - **优先选择本地供应商**：降低运输损耗（香蕉长途运输易褐变），并尝试与大型农贸批发市场合作（如深圳海吉星、北京新发地）。
   - **环保要求**：可要求供应商使用可回收包装（如周转箱代替一次性泡沫箱），减少食堂垃圾处理负担。

### 风险防范提示
- 定期（每月）抽样送第三方检测机构（如SGS）做农残定量检测，对比供应商报告。
- 保留所有采购单据、检测数据至少2年，以便应对食品安全检查。

如果初期无法找到完全符合的供应商，可从农批市场固定摊位开始合作，用短期合同逐步筛选。
