茶饮店使用水果，主要风险是农残、重金属、霉变/致病菌、以及来源不可追溯。供应商通常需要提供以下证明，按优先级排列：

**必备（没有就不建议合作）**
1. **营业执照**——确认是合法经营主体，经营范围包含水果种植/销售/批发。
2. **食品经营许可证**或**食品生产许可证**（视其是销售还是初加工）——这是食品供应链的法定资质。
3. **水果的检测报告**——重点看：农药残留、重金属（铅、镉等）。优先要**第三方检测机构（CMA/CNAS资质）出具的报告**，且报告日期在有效期内（一般一年内，叶菜类/鲜果建议更短）。
4. **食用农产品合格证**或**产地证明**——证明这批货来自哪里、谁生产的，用于追溯。

**建议补充（降低风险）**
5. **每批次的进货凭证/送货单**——写清品名、数量、产地、日期、供应商盖章，配合你自己的进货台账。
6. **供应商自我承诺书/质量保证协议**——约定农残超标、霉变等问题的退换货和赔偿责任。
7. **针对即食水果的额外要求**：如果水果是洗净直接入杯（如柠檬片、草莓粒），要确认供应商是否有**清洗消毒环节**，必要时要求提供**微生物检测**（菌落总数、大肠菌群、沙门氏菌等）。
8. **进口水果**：需**入境货物检验检疫证明**和**报关单**。

**实操建议**
- 不要只收一次报告就长期用，**按批次或至少按季度更新**检测报告。
- 自己店里也做**收货查验**：看外观有无霉变、异味，有条件做农残快检（试纸/快检仪）。
- 建立**供应商档案**，把上述证件复印件/电子件归档，监管检查时能直接出示。

核心逻辑：**资质证明合法性 + 检测报告证明安全性 + 进货凭证保证可追溯**。三者齐全，食品安全风险基本可控。
